seq,Salmones2024,yolov8m,yolov8l,yolov9c,yolo11m,yolo11l
Average,1.0,0.0,0.15721881323743145,0.0352002700616205,0.5163098625990477,0.03155861634960762
Tracking1,1.0,0.5808210922950818,0.591231987616274,0.59804499318235,0.9849887626469226,0.0
Tracking2,1.0,0.0,0.16190823853260966,0.05978208424820984,0.4776348222802194,0.20936759162168042
