model,AssA_AUC,Frag,HOTA_AUC,IDF1,IDSW,MT_percent
Salmones2024,0.9319412502084099,0.7241379310344828,0.9012019401690287,0.9133510634576752,0.7505720823798627,0.6084210526315789
yolo11l,0.9340445098195687,0.4686959529574542,0.8111755730212702,0.7724475686834351,0.675,0.3333333333333333
yolo11m,0.9982423079073632,0.735897435897436,0.9470176280871696,0.9449643553591702,0.6916666666666667,0.75
yolov8l,0.9183860501144713,0.631885593220339,0.8063125126683954,0.8002189828923636,0.5044642857142857,0.22619047619047616
yolov8m,0.9188645695153872,0.4836377473363775,0.7612605528811986,0.7242887591022134,0.6258741258741258,0.375
yolov9c,0.9946164837646567,0.4186236138290933,0.8232137983629125,0.7745223921670605,0.4666666666666667,0.875
