model,IDF1,AssA_AUC,HOTA_AUC,MT_percent,IDSW,Frag
Salmones2024,0.642824341430445,0.5345837666342381,0.4885662649574929,0.2747747747747748,11.333333333333334,29.0
yolov8m,0.37757676298021003,0.363339162538135,0.2877973398504034,0.009009009009009009,5.5,29.666666666666668
yolov8l,0.38998935572544485,0.3912964295731934,0.30442911675957113,0.04954954954954955,5.833333333333333,26.0
yolov9c,0.3136506407527803,0.3678378365329282,0.2572061278571095,0.018018018018018018,5.666666666666667,15.166666666666666
yolo11m,0.4117607830163122,0.43810643671092947,0.3414442442573105,0.06306306306306307,4.833333333333333,16.833333333333332
yolo11l,0.37311481545685954,0.3972939540304113,0.29915160959953563,0.07207207207207207,6.666666666666667,20.0
