model,IDF1,AssA_AUC,HOTA_AUC,MT_percent,IDSW,Frag
Salmones2024,0.5801622348622173,0.5369075772133383,0.4617614787763878,0.23611111111111108,8.166666666666666,36.5
yolov8m,0.556868422933806,0.5130879028427395,0.427624130056026,0.10185185185185185,4.333333333333333,38.0
yolov8l,0.5328572129374862,0.5120205003213492,0.4182436743431843,0.14814814814814814,6.0,28.0
yolov9c,0.5438956374038388,0.5154365333429335,0.41734574045389256,0.10185185185185185,5.5,31.166666666666668
yolo11m,0.5959307757672705,0.5299497437520689,0.45046172489585223,0.14351851851851852,5.666666666666667,31.666666666666668
yolo11l,0.4473371174317591,0.48541038727757546,0.35338085612155323,0.018518518518518517,1.1666666666666667,23.666666666666668
