,Salmones2024,yolov8m,yolov8l,yolov9c,yolo11m,yolo11l
Tracking1,1.0,0.5808210922950818,0.591231987616274,0.59804499318235,0.9849887626469226,0.0
Tracking2,1.0,0.0,0.16190823853260966,0.05978208424820984,0.4776348222802194,0.20936759162168042
Average,1.0,0.2904105461475409,0.3765701130744419,0.32891353871527995,0.731311792463571,0.10468379581084021
