model,IDF1,AssA_AUC,HOTA_AUC,MT_percent,IDSW,Frag
Salmones2024,0.6114932881463311,0.5357456719237882,0.4751638718669403,0.25544294294294295,9.75,32.75
yolov8m,0.467222592957008,0.4382135326904373,0.3577107349532147,0.05543043043043043,4.916666666666666,33.833333333333336
yolov8l,0.4614232843314655,0.45165846494727124,0.36133639555137775,0.09884884884884884,5.916666666666666,27.0
yolov9c,0.4287731390783096,0.4416371849379308,0.33727593415550106,0.05993493493493493,5.583333333333334,23.166666666666668
yolo11m,0.5038457793917913,0.4840280902314992,0.39595298457658135,0.10329079079079079,5.25,24.25
yolo11l,0.4102259664443093,0.44135217065399335,0.32626623286054446,0.045295295295295294,3.916666666666667,21.833333333333336
