seq,model,baseline_format,target_format,metric,baseline_value,target_value,improvement_factor
Tracking2,yolov8l,Pytorch,INT8,AssA_AUC,0.41090302887893815,0.36496642891534103,0.8882057401987875
Tracking2,yolov8l,Pytorch,INT8,IDF1,0.43293311243120175,0.30864413334788054,0.7129141303483175
Tracking2,yolov8l,Pytorch,INT8,HOTA_AUC,0.3380518567259532,0.24803528281363807,0.7337196287453365
Tracking2,yolov8l,Pytorch,INT8,MT_percent,0.08108108108108109,0.013513513513513514,0.16666666666666666
Tracking2,yolov8l,Pytorch,INT8,IDSW,8.0,3.5,0.4375
Tracking2,yolov8l,Pytorch,INT8,Frag,29.5,17.0,0.576271186440678
Tracking2,yolov8m,Pytorch,INT8,AssA_AUC,0.38130875094897665,0.33023939557531556,0.8660682314618718
Tracking2,yolov8m,Pytorch,INT8,IDF1,0.4414515849916913,0.2493085986445418,0.5647473179855819
Tracking2,yolov8m,Pytorch,INT8,HOTA_AUC,0.3282065326595529,0.21083314449948515,0.6423794882784414
Tracking2,yolov8m,Pytorch,INT8,MT_percent,0.013513513513513514,0.0,0.0
Tracking2,yolov8m,Pytorch,INT8,IDSW,6.5,4.0,0.6153846153846154
Tracking2,yolov8m,Pytorch,INT8,Frag,36.5,13.0,0.3561643835616438
Tracking2,yolov9c,Pytorch,INT8,AssA_AUC,0.36322978914379483,0.3789639637868747,1.0433174125948437
Tracking2,yolov9c,Pytorch,INT8,IDF1,0.35544969020813394,0.23657519342359765,0.6655659012814747
Tracking2,yolov9c,Pytorch,INT8,HOTA_AUC,0.28109931219098716,0.2136579997251766,0.7600801227859677
Tracking2,yolov9c,Pytorch,INT8,MT_percent,0.02702702702702703,0.02702702702702703,1.0
Tracking2,yolov9c,Pytorch,INT8,IDSW,7.5,2.0,0.26666666666666666
Tracking2,yolov9c,Pytorch,INT8,Frag,21.0,5.5,0.2619047619047619
