export,IDF1,AssA_AUC,HOTA_AUC,MT_percent,IDSW,Frag
Pytorch,0.5648910286940267,0.5246658875870066,0.43818525567100025,0.15046296296296297,5.833333333333333,36.5
FP16,0.5635763663878929,0.5251781965941857,0.4384999883952358,0.1388888888888889,5.75,36.416666666666664
INT8,0.5000583055862694,0.49656223819381,0.387723558257212,0.08564814814814814,3.8333333333333335,21.583333333333332
