seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Tracking1,0.45782708404596084,0.8830589728912549,0.40428831459942444,0.45782708404596084,0.45705835277292917,0.45618607974386755,0.4547279607714461,0.4540274395438199,0.4533453674688903,0.4526813278858846,0.4526813278858846,0.4526813278858846,0.4526813278858846,0.4524413659713104,0.4524413659713104,0.4513806192250342,0.44571882580129696,0.4361250176645314,0.39860877403774686,0.34244710294046987,0.2433962547095824,0.08472537844611587,0.41322012108725525,0.36376811594202896,0.3598265895953757,0.3585178055822907,0.35721153846153847,0.3565593464680442,0.3559077809798271,0.3552568410945751,0.3552568410945751,0.3552568410945751,0.3552568410945751,0.3539568345323741,0.3539568345323741,0.3507177033492823,0.3455672068636797,0.3366477272727273,0.30936920222634506,0.26648721399730824,0.18763146823727386,0.057699512926189585,0.3228869602813137,0.5762067363799157,0.5805639268471339,0.5804613776827097,0.5788657309277312,0.5781391454204718,0.5774586372899563,0.5768231907516587,0.5768231907516587,0.5768231907516587,0.5768231907516587,0.5783281170779664,0.5783281170779664,0.5809357824434221,0.5748961930639933,0.564997222983768,0.5135900845864643,0.44005870508108247,0.315734547958322,0.12440988474235995,0.5289614196089419,0.3692986758214811,0.36635605689063266,0.3653751839136832,0.3643943109367337,0.36390387444825895,0.3634134379597842,0.36292300147130946,0.36292300147130946,0.36292300147130946,0.36292300147130946,0.36194212849435997,0.36194212849435997,0.35948994605198625,0.3555664541441883,0.34870034330554195,0.3271211378126533,0.29131927415399705,0.21873467385973516,0.07552721922511035,0.33393562375777597,0.9604591836734694,0.9528061224489796,0.9502551020408163,0.9477040816326531,0.9464285714285714,0.9451530612244898,0.9438775510204082,0.9438775510204082,0.9438775510204082,0.9438775510204082,0.9413265306122449,0.9413265306122449,0.9349489795918368,0.9247448979591837,0.9068877551020408,0.8507653061224489,0.7576530612244898,0.5688775510204082,0.19642857142857142,0.8684881847475833,0.5793539326188204,0.5836944721023668,0.583860377468698,0.5827155216558908,0.5821778722563073,0.5816635336867564,0.5811726004506028,0.5811726004506028,0.5811726004506028,0.5811726004506028,0.582689313795065,0.582689313795065,0.585380951419211,0.5824129550006149,0.5768876415775089,0.5427372894485107,0.48705091732222183,0.38528370788116745,0.18092960162659483,0.5433798843924847,0.9817217265740691,0.9880249557275181,0.9868886728634828,0.9847694134408083,0.9837707112330292,0.9828128466232265,0.9818959851692299,0.9818959851692299,0.9818959851692299,0.9818959851692299,0.9818469227984149,0.9818469227984149,0.9764707080835336,0.9677124976155337,0.9544379426892243,0.9092035185815243,0.831212798266554,0.6561241259841294,0.2961521883029027,0.9152936785399622,0.8830589728912549,0.8895530073943239,0.8916229017866422,0.8935574834123623,0.8944857832812122,0.8952913492349333,0.8960851790524572,0.8960851790524572,0.8960851790524572,0.8960851790524572,0.8970678021949631,0.8970678021949631,0.8988794841914575,0.9013478218168098,0.9047268618791912,0.9132941188390391,0.9238522690145493,0.9389789310206629,0.9625317624852233,0.9036661614656536,0.4612942496330516,0.4611866336014712,0.4605281561702932,0.45927701787298186,0.45867970849898637,0.4581006752419331,0.4575395105407288,0.4575395105407288,0.4575395105407288,0.4575395105407288,0.4575164583524122,0.4575164583524122,0.45699078009326866,0.4521214448229113,0.44386340874318275,0.40988556066202314,0.3580468999298399,0.26279667686999864,0.09693468233149027,0.4202577291231143,753.0,747.0,745.0,743.0,742.0,741.0,740.0,740.0,740.0,740.0,738.0,738.0,733.0,725.0,711.0,667.0,594.0,446.0,154.0,680.8947368421053,1286.0,1292.0,1294.0,1296.0,1297.0,1298.0,1299.0,1299.0,1299.0,1299.0,1301.0,1301.0,1306.0,1314.0,1328.0,1372.0,1445.0,1593.0,1885.0,1358.1052631578948,31.0,37.0,39.0,41.0,42.0,43.0,44.0,44.0,44.0,44.0,46.0,46.0,51.0,59.0,73.0,117.0,190.0,338.0,630.0,103.10526315789474,0.33987248651299656,0.8960851790524572,0.3413437959784208,0.36292300147130946,0.9438775510204082,0.08333333333333333,0.5,0.4166666666666667,0.30215940779736067,0.5242649663478569,0.2,0.3411097983056794,663.1030324988184,740,1299,44,3,3,18,15,27.0,220,0.5143464399574921,0.35605689063266305,0.9260204081632653,726,1313,58,784,2039,31,36
Tracking2,0.23765685616372909,0.8968489762138351,0.2131423081406391,0.23765685616372909,0.23765685616372909,0.23765685616372909,0.23765685616372909,0.23765685616372909,0.23765685616372909,0.23765685616372909,0.23765685616372909,0.23765685616372909,0.23765685616372909,0.23765685616372909,0.23620771019547235,0.23490100759649626,0.23323692707989102,0.23049120894354663,0.2226759637524435,0.1972507139073591,0.16235411000021793,0.06031139972062805,0.22061339257879337,0.15545992469069392,0.15545992469069392,0.15545992469069392,0.15545992469069392,0.15545992469069392,0.15545992469069392,0.15545992469069392,0.15545992469069392,0.15545992469069392,0.15545992469069392,0.15545992469069392,0.15483870967741936,0.1535982814178303,0.1517426273458445,0.1492776886035313,0.13952254641909814,0.11875,0.09090909090909091,0.026278069756330624,0.14184085188035675,0.36331409135828846,0.36331409135828846,0.36331409135828846,0.36331409135828846,0.36331409135828846,0.36331409135828846,0.36331409135828846,0.36331409135828846,0.36331409135828846,0.36331409135828846,0.36331409135828846,0.36033678188113244,0.35923893718412303,0.35849823550033677,0.3558883976382853,0.3553876137275852,0.3276450032586343,0.2899474273735915,0.13842207475627372,0.3443062882242703,0.15579514824797844,0.15579514824797844,0.15579514824797844,0.15579514824797844,0.15579514824797844,0.15579514824797844,0.15579514824797844,0.15579514824797844,0.15579514824797844,0.15579514824797844,0.15579514824797844,0.15525606469002695,0.15417789757412398,0.15256064690026955,0.1504043126684636,0.1417789757412399,0.12291105121293801,0.09649595687331536,0.029649595687331536,0.1429990069513406,0.9863481228668942,0.9863481228668942,0.9863481228668942,0.9863481228668942,0.9863481228668942,0.9863481228668942,0.9863481228668942,0.9863481228668942,0.9863481228668942,0.9863481228668942,0.9863481228668942,0.9829351535836177,0.9761092150170648,0.9658703071672355,0.9522184300341296,0.8976109215017065,0.7781569965870307,0.6109215017064846,0.18771331058020477,0.9053350098796479,0.3634035545213915,0.3634035545213915,0.3634035545213915,0.3634035545213915,0.3634035545213915,0.3634035545213915,0.3634035545213915,0.3634035545213915,0.3634035545213915,0.3634035545213915,0.3634035545213915,0.3612388373313159,0.36048431309958295,0.35998689513872256,0.3581210215357312,0.35913504650480654,0.3413228117985863,0.30901593134846284,0.17325990587596876,0.3484212559141307,0.9939446366782007,0.9939446366782007,0.9939446366782007,0.9939446366782007,0.9939446366782007,0.9939446366782007,0.9939446366782007,0.9939446366782007,0.9939446366782007,0.9939446366782007,0.9939446366782007,0.9905427631578948,0.9841829223408171,0.9771247907755254,0.9697321260139596,0.9451589190775925,0.869274171049619,0.7717536683987616,0.39982125394140955,0.9389990325376731,0.8968489762138351,0.8968489762138351,0.8968489762138351,0.8968489762138351,0.8968489762138351,0.8968489762138351,0.8968489762138351,0.8968489762138351,0.8968489762138351,0.8968489762138351,0.8968489762138351,0.8979157741844159,0.8998029748775194,0.9021618893346657,0.9048190560186193,0.9126059376245251,0.9252654636337293,0.9390797178721564,0.9649859418352325,0.9058934470385815,0.2379129519882096,0.2379129519882096,0.2379129519882096,0.2379129519882096,0.2379129519882096,0.2379129519882096,0.2379129519882096,0.2379129519882096,0.2379129519882096,0.2379129519882096,0.2379129519882096,0.2365258352018511,0.2353437997097244,0.2338647530529912,0.23135935216339787,0.22446935618346758,0.20067683417670623,0.16726851002914692,0.06406370696989909,0.22161129575565738,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,288.0,286.0,283.0,279.0,263.0,228.0,179.0,55.0,265.2631578947368,1566.0,1566.0,1566.0,1566.0,1566.0,1566.0,1566.0,1566.0,1566.0,1566.0,1566.0,1567.0,1569.0,1572.0,1576.0,1592.0,1627.0,1676.0,1800.0,1589.7368421052631,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,10.0,14.0,30.0,65.0,114.0,238.0,27.736842105263158,0.15148247978436657,0.8968489762138351,0.15363881401617252,0.15579514824797844,0.9863481228668942,0.0,0.32432432432432434,0.6756756756756757,0.13541205074167026,0.26908752327746743,0.01818181818181818,0.1533142533739472,259.18935412579833,289,1566,4,4,0,12,25,14.0,220,0.25605214152700184,0.14824797843665768,0.9385665529010239,275,1580,18,293,1855,26,37
COMBINED,0.3703442452488758,0.8868836475171913,0.3284522550633242,0.3703442452488758,0.36999228185135036,0.3694731569545656,0.36857210270525653,0.3681401390859564,0.3677201693848793,0.36731191791556944,0.36731191791556944,0.36731191791556944,0.36731191791556944,0.367203925388898,0.36673572696289436,0.36571441112911046,0.3616259649637388,0.354752387006837,0.3284842277139786,0.28461723971114,0.21057969967378054,0.0749805187661368,0.33674651937945665,0.2652074319165182,0.26327827191867853,0.26263652527305054,0.261995430312262,0.2616751269035533,0.26135498604415125,0.2610350076103501,0.2610350076103501,0.2610350076103501,0.2610350076103501,0.260395537525355,0.2600760456273764,0.25784412955465585,0.2543527630582892,0.24868123587038432,0.2301410541945063,0.19812002892263195,0.14381040036815462,0.04388912221755565,0.2377683221130802,0.5171606956781399,0.5199604495727358,0.5197693411761741,0.5185029171335752,0.5179214532536717,0.517373420033401,0.5168580501057073,0.5168580501057073,0.5168580501057073,0.5168580501057073,0.5178227096456519,0.5171375668472762,0.5187127228318819,0.514141607755943,0.5060665540227683,0.4688511062683081,0.40887826223981955,0.3083491166228552,0.12809730316707407,0.4771672329827423,0.26759116589625065,0.26605033384694404,0.2655367231638418,0.2650231124807396,0.2647663071391885,0.2645095017976374,0.2642526964560863,0.2642526964560863,0.2642526964560863,0.2642526964560863,0.2637390857729841,0.26348228043143296,0.26168464304057526,0.2588597842835131,0.2542372881355932,0.23882896764252695,0.2110939907550077,0.16050333846944018,0.05367231638418079,0.2429784013191685,0.9675023212627669,0.9619312906220984,0.9600742804085423,0.958217270194986,0.957288765088208,0.9563602599814299,0.9554317548746518,0.9554317548746518,0.9554317548746518,0.9554317548746518,0.9535747446610956,0.9526462395543176,0.9461467038068709,0.935933147632312,0.9192200557103064,0.8635097493036211,0.7632311977715878,0.5803156917363046,0.19405756731662024,0.8785124370815618,0.519459825833641,0.5222426620821913,0.5222433350782033,0.5212996703943886,0.5208531604955017,0.5204235977850181,0.5200110316716504,0.5200110316716504,0.5200110316716504,0.5200110316716504,0.5209818313899124,0.5205277765420827,0.5222598144619848,0.5199659560512939,0.5152352304748261,0.4908153648310976,0.44662998294340317,0.36344061668220085,0.17891126063958795,0.48870180065115454,0.985111765940762,0.9896762952977375,0.9888607942778479,0.9873388315760858,0.9866225681230918,0.9859362323765154,0.985279911589145,0.985279911589145,0.985279911589145,0.985279911589145,0.9852512453994452,0.9842878604431812,0.9786352745973541,0.970355036270571,0.9587481216261952,0.9193715511949285,0.841769967359667,0.6892404269316801,0.3234335213656676,0.9218820599545952,0.8868836475171913,0.8915882728275659,0.8930835744263508,0.894479228974015,0.8951482107860891,0.8957283921445475,0.8962996954563817,0.8962996954563817,0.8962996954563817,0.8962996954563817,0.897006224095113,0.8973058294200726,0.8991386778481932,0.9015763745028745,0.9047528438639392,0.9130995041514939,0.9242442500038109,0.9390077963749307,0.9631775991562784,0.9042852214693681,0.37200488372093926,0.37193500937130597,0.37150753378222384,0.37069563920969334,0.37030818322869463,0.36993267708648647,0.36956884801815765,0.36956884801815765,0.36956884801815765,0.36956884801815765,0.3695539040984869,0.3691294968025218,0.3684279491499876,0.36481582432082355,0.35869344614987503,0.33462699485862873,0.29378860445765437,0.22246586846541427,0.08291730207588477,0.3404778267816448,1042.0,1036.0,1034.0,1032.0,1031.0,1030.0,1029.0,1029.0,1029.0,1029.0,1027.0,1026.0,1019.0,1008.0,990.0,930.0,822.0,625.0,209.0,946.1578947368421,2852.0,2858.0,2860.0,2862.0,2863.0,2864.0,2865.0,2865.0,2865.0,2865.0,2867.0,2868.0,2875.0,2886.0,2904.0,2964.0,3072.0,3269.0,3685.0,2947.842105263158,35.0,41.0,43.0,45.0,46.0,47.0,48.0,48.0,48.0,48.0,50.0,51.0,58.0,69.0,87.0,147.0,255.0,452.0,868.0,130.8421052631579,0.2501284026707756,0.8962996954563817,0.25192604006163327,0.2642526964560863,0.9554317548746518,0.0410958904109589,0.410958904109589,0.547945205479452,0.22272531757180705,0.4140012070006035,0.10909090909090909,0.25170901437082327,922.2923866246167,1029,2865,48,7,3,30,40,41.0,440,0.4027358680346007,0.2570621468926554,0.9294336118848654,1001,2893,76,1077,3894,57,73
