seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Tracking1,0.44517592462235667,0.8063756078678461,0.3589790068254833,0.44517592462235667,0.44494702488440024,0.44494702488440024,0.44320019155103546,0.443069042871822,0.4386764895624753,0.43790599575106226,0.43790599575106226,0.437354519448529,0.43562294816496816,0.4262889123850491,0.41134422718952546,0.392919188490775,0.36186738933480916,0.31188924836377413,0.2605723060523909,0.19194651209712396,0.09729099236973295,0.027889220423283383,0.3626743765367671,0.3357418111753372,0.33445620789220404,0.33445620789220404,0.3331730769230769,0.3325324363286881,0.3299760191846523,0.3293384467881112,0.3293384467881112,0.32870148538572114,0.32679425837320575,0.31984769157544024,0.30432737535277515,0.2879702740362285,0.2644778841769266,0.22644847412649272,0.18554938007695596,0.1304525071341215,0.06449136276391555,0.013893967093235832,0.2690509112140739,0.5902797842472833,0.5919395432997547,0.5919395432997547,0.5895626729653954,0.5903489563866539,0.5831849931711858,0.5822632097311871,0.5822632097311871,0.5819230645021081,0.580693656958992,0.5681524100653593,0.5559936007925913,0.5361160598986912,0.4951189316698808,0.42956749264992977,0.3659291486357996,0.282428174940108,0.14677216902576648,0.055981751691146366,0.489497809140146,0.34183423246689554,0.34085335948994605,0.34085335948994605,0.33987248651299656,0.3393820500245218,0.33742030407062285,0.3369298675821481,0.3369298675821481,0.33643943109367336,0.3349681216282491,0.32957332025502695,0.3173124080431584,0.3040706228543404,0.28445316331535064,0.2511034820990682,0.21284943599803827,0.1569396763119176,0.08239333006375674,0.018636586562040217,0.28120079502336026,0.9495912806539509,0.946866485013624,0.946866485013624,0.944141689373297,0.9427792915531336,0.9373297002724795,0.9359673024523161,0.9359673024523161,0.9346049046321526,0.9305177111716622,0.9155313351498637,0.8814713896457765,0.8446866485013624,0.7901907356948229,0.6975476839237057,0.5912806539509536,0.4359673024523161,0.22888283378746593,0.051771117166212535,0.7811558869926861,0.5913873652646924,0.5930483810002366,0.5930483810002366,0.591518108878353,0.5923072180740521,0.5877140763988611,0.5870411711243326,0.5870411711243326,0.5868734065639096,0.5857176528592123,0.577965442305354,0.570121273498769,0.5557891937300212,0.5261110119921264,0.4732069723536526,0.42005103978846414,0.3459279323310602,0.20502719017710555,0.07887731762252825,0.5078302266361736,0.993682907915819,0.9959029386660164,0.9959029386660164,0.9931425403580367,0.9931326307342767,0.98760112694755,0.9864913760406323,0.9864913760406323,0.9850997068065979,0.983204097905309,0.9710010141372624,0.9535839197391525,0.9318615496591108,0.8872298614671081,0.8073333043769256,0.7217103077677105,0.588824249409025,0.34397084292366753,0.18196697389441524,0.8572701928134351,0.8063756078678461,0.808476484994449,0.808476484994449,0.8103487651286665,0.811230720484526,0.8143542687413764,0.8150653380309786,0.8150653380309786,0.8156441727990932,0.8172018068043996,0.8218808473521926,0.83147086741857,0.8402987510213651,0.8516432394386128,0.8683804661727935,0.884722251130136,0.9055006845901994,0.9317963418452893,0.9623277529851374,0.8431715889384769,0.44919687998570823,0.44918212558901516,0.44918212558901516,0.4476339258992749,0.44760902476194514,0.4435971795731411,0.44292422168209017,0.44292422168209017,0.4424724452001234,0.44103725864488186,0.43272147646741094,0.42002817563121125,0.4037538163975789,0.3752840875001424,0.32842943412697234,0.2790838814807696,0.21053310038202114,0.10996839439908847,0.03230029042108895,0.3709401087059773,697.0,695.0,695.0,693.0,692.0,688.0,687.0,687.0,686.0,683.0,672.0,647.0,620.0,580.0,512.0,434.0,320.0,168.0,38.0,573.3684210526316,1342.0,1344.0,1344.0,1346.0,1347.0,1351.0,1352.0,1352.0,1353.0,1356.0,1367.0,1392.0,1419.0,1459.0,1527.0,1605.0,1719.0,1871.0,2001.0,1465.6315789473683,37.0,39.0,39.0,41.0,42.0,46.0,47.0,47.0,48.0,51.0,62.0,87.0,114.0,154.0,222.0,300.0,414.0,566.0,696.0,160.6315789473684,0.3148602256007847,0.8175904303198198,0.3148602256007847,0.33742030407062285,0.9373297002724795,0.027777777777777776,0.5277777777777778,0.4444444444444444,0.25331153313390686,0.49621348719798053,0.20909090909090908,0.3148602256007847,562.5022160600361,688,1351,46,0,1,19,16,31.0,220,0.49260728452939057,0.3349681216282491,0.9305177111716622,683,1356,51,734,2039,27,36
Tracking2,0.36023706551748697,0.8275060405819882,0.2980983477572499,0.36023706551748697,0.36023706551748697,0.36023706551748697,0.36023706551748697,0.36023706551748697,0.36023706551748697,0.36023706551748697,0.36023706551748697,0.36023706551748697,0.3580094049178988,0.3572775716979229,0.3540504512822547,0.34410764956721923,0.3044804004458946,0.2734763605221504,0.2233676754547051,0.17306997063633034,0.12125017340525951,0.03503676973003514,0.3045400009114239,0.29269602577873255,0.29269602577873255,0.29269602577873255,0.29269602577873255,0.29269602577873255,0.29269602577873255,0.29269602577873255,0.29269602577873255,0.29269602577873255,0.29130901287553645,0.289234065345474,0.28373333333333334,0.2748940677966102,0.24264326277749096,0.21015585721468075,0.16787967006307616,0.12319178721418572,0.07647584973166369,0.01905165114309907,0.24278067313177595,0.4433635305685773,0.4433635305685773,0.4433635305685773,0.4433635305685773,0.4433635305685773,0.4433635305685773,0.4433635305685773,0.4433635305685773,0.4433635305685773,0.43998204087296716,0.44132859345560443,0.44179413317610977,0.4307480166443094,0.3820766057729277,0.3558754952427596,0.297195714164154,0.24314295143703452,0.19223852500351518,0.06443406001375171,0.3831098900473857,0.29380053908355797,0.29380053908355797,0.29380053908355797,0.29380053908355797,0.29380053908355797,0.29380053908355797,0.29380053908355797,0.29380053908355797,0.29380053908355797,0.292722371967655,0.29110512129380056,0.28679245283018867,0.27978436657681943,0.25336927223719674,0.22533692722371967,0.18652291105121294,0.14231805929919136,0.09218328840970351,0.02425876010781671,0.24834728330259614,0.9873188405797102,0.9873188405797102,0.9873188405797102,0.9873188405797102,0.9873188405797102,0.9873188405797102,0.9873188405797102,0.9873188405797102,0.9873188405797102,0.9836956521739131,0.9782608695652174,0.9637681159420289,0.9402173913043478,0.8514492753623188,0.7572463768115942,0.6268115942028986,0.4782608695652174,0.30978260869565216,0.08152173913043478,0.8345728451563692,0.4540176705765223,0.4540176705765223,0.4540176705765223,0.4540176705765223,0.4540176705765223,0.4540176705765223,0.4540176705765223,0.4540176705765223,0.4540176705765223,0.45180005530105855,0.453127695802378,0.4545385738324241,0.4471889024030899,0.41434663725106624,0.3960022036453275,0.3482507964577246,0.2966511497318496,0.24795625998021262,0.08590413288008959,0.4043118653933643,0.9417924489301106,0.9417924489301106,0.9417924489301106,0.9417924489301106,0.9417924489301106,0.9417924489301106,0.9417924489301106,0.9417924489301106,0.9417924489301106,0.9397003256423075,0.9398797307436125,0.9317750729127536,0.9175380266681904,0.8522889811838383,0.7936615515745313,0.7146156431692819,0.6412460792975084,0.521360744560835,0.2719673097365624,0.8421139739926536,0.8275060405819882,0.8275060405819882,0.8275060405819882,0.8275060405819882,0.8275060405819882,0.8275060405819882,0.8275060405819882,0.8275060405819882,0.8275060405819882,0.8287423595920516,0.8303922401815175,0.8340407150907327,0.8394525977472669,0.8561767248926252,0.8726713964899796,0.8934237356085858,0.9139834243444226,0.9350160490521535,0.9643913136486004,0.8534655222045173,0.36091611808152535,0.36091611808152535,0.36091611808152535,0.36091611808152535,0.36091611808152535,0.36091611808152535,0.36091611808152535,0.36091611808152535,0.36091611808152535,0.35887684047247276,0.35843132358698243,0.3559539620506612,0.3471549524218967,0.3111373837126375,0.2831817271156861,0.2354438569125179,0.18602051763393276,0.13312092019609478,0.03953593814045985,0.30826855184089846,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,543.0,540.0,532.0,519.0,470.0,418.0,346.0,264.0,171.0,45.0,460.6842105263158,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1312.0,1315.0,1323.0,1336.0,1385.0,1437.0,1509.0,1591.0,1684.0,1810.0,1394.3157894736842,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,12.0,20.0,33.0,82.0,134.0,206.0,288.0,381.0,507.0,91.3157894736842,0.28247978436657684,0.8287423595920516,0.28787061994609164,0.292722371967655,0.9836956521739131,0.08108108108108109,0.40540540540540543,0.5135135135135135,0.23234884164877845,0.4511840465309514,0.04090909090909091,0.2873315363881402,450.007101258484,543,1312,9,10,3,15,19,22.0,220,0.3963439966763606,0.2571428571428571,0.8641304347826086,477,1378,75,552,1855,36,37
COMBINED,0.4072284071210357,0.8156478186804125,0.33215496197297173,0.4072284071210357,0.4071166119481781,0.4071166119481781,0.4061301125524809,0.40606441471352406,0.4035767371731737,0.4031436590586658,0.4031436590586658,0.4028363437930561,0.4009107032520418,0.3953216394232132,0.38555598981899236,0.3709142439115107,0.33617452845081824,0.294536330825343,0.2438530516933649,0.18338678417762858,0.10901382518836743,0.03140437701967976,0.3367067384804167,0.31538852209243273,0.3147208121827411,0.3147208121827411,0.31405377980720445,0.31372051737255896,0.31238915632125663,0.3120567375886525,0.3120567375886525,0.3117244872119524,0.310065756196257,0.30544354838709675,0.2946763309172707,0.28186092551348674,0.2542372881355932,0.2188235294117647,0.17727272727272728,0.12706701479547433,0.07002685395579426,0.01628408867961546,0.2566626118743828,0.5258117019164502,0.5266379893171,0.5266379893171,0.5252019842688963,0.5255898156664827,0.5213823191092055,0.520818140621104,0.520818140621104,0.5205786729555815,0.518371954238999,0.5116467491996269,0.5044633914864266,0.48810375572922304,0.44451903341124466,0.3964457131701479,0.3354397020624799,0.2646691013017324,0.16970652558091406,0.060564328492558904,0.44249510570875666,0.3189522342064715,0.31843862352336927,0.31843862352336927,0.3179250128402671,0.317668207498716,0.31664098613251157,0.3163841807909605,0.3163841807909605,0.31612737544940933,0.3148433487416538,0.31124807395993837,0.30277349768875195,0.2925012840267078,0.2696456086286595,0.23882896764252695,0.20030816640986132,0.14997431946584489,0.08705701078582434,0.021314843348741654,0.26555023923444976,0.9657853810264385,0.9642301710730948,0.9642301710730948,0.9626749611197511,0.9618973561430794,0.9587869362363919,0.9580093312597201,0.9580093312597201,0.9572317262830482,0.9533437013996889,0.942457231726283,0.916796267496112,0.885692068429238,0.8164852255054432,0.7231726283048211,0.6065318818040435,0.45412130637636083,0.26360808709175737,0.0645412130637636,0.8040844724564133,0.5311083929578867,0.531942141338201,0.531942141338201,0.5309868173803742,0.5313793252800717,0.5286187469802279,0.5281955479112185,0.5281955479112185,0.5280542545629948,0.5264050464366369,0.5223446641604637,0.5179669085941927,0.5063040741526047,0.47608314901279475,0.4385063343750721,0.3882011882597001,0.32365212649854036,0.22668167671495598,0.08268703673807357,0.46206605897912784,0.9709129400034108,0.9721205056772514,0.9721205056772514,0.9705368862156946,0.9705130680153838,0.9673531711328668,0.9667179058496954,0.9667179058496954,0.9659263066906876,0.9639361139421689,0.957135095793557,0.943743116930294,0.9253348521768564,0.8715896579117397,0.8011883660205806,0.7185631873176382,0.6125217889476545,0.43345070481144227,0.23076233670039864,0.8516391797718036,0.8156478186804125,0.8168402816034884,0.8168402816034884,0.81790184681046,0.8184013344320741,0.8201675012256695,0.8205687332341444,0.8205687332341444,0.820895771451959,0.8223131609346565,0.8256730520781295,0.8326304594131336,0.8399131903986636,0.8536725138799326,0.8703090778637438,0.8885821403987817,0.9093353477667661,0.9334204419407871,0.9634465509352077,0.8477435914676654,0.4095226698220247,0.409514195618726,0.409514195618726,0.4086255591521688,0.4086112756916433,0.40631393241531194,0.4059293297625576,0.4059293297625576,0.4056712580358441,0.40398757650002276,0.39906022758005777,0.39081727891212226,0.3778504668371554,0.3462117925651847,0.30770557421459194,0.25921286939734595,0.1992324480383757,0.12154893182550972,0.035929363678482026,0.34269411975938996,1242.0,1240.0,1240.0,1238.0,1237.0,1233.0,1232.0,1232.0,1231.0,1226.0,1212.0,1179.0,1139.0,1050.0,930.0,780.0,584.0,339.0,83.0,1034.0526315789473,2652.0,2654.0,2654.0,2656.0,2657.0,2661.0,2662.0,2662.0,2663.0,2668.0,2682.0,2715.0,2755.0,2844.0,2964.0,3114.0,3310.0,3555.0,3811.0,2859.9473684210525,44.0,46.0,46.0,48.0,49.0,53.0,54.0,54.0,55.0,60.0,74.0,107.0,147.0,236.0,356.0,506.0,702.0,947.0,1203.0,251.94736842105263,0.2994350282485876,0.8225095997713404,0.3020030816640986,0.31612737544940933,0.9572317262830482,0.0547945205479452,0.4657534246575342,0.4794520547945205,0.24332545385683618,0.4752895752895753,0.125,0.3017462763225475,1012.5093173185201,1231,2663,55,10,4,34,35,53.0,440,0.44787644787644787,0.2978941961992809,0.9020217729393468,1160,2734,126,1286,3894,63,73
