seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Tracking1,0.448869856563392,0.804377576366175,0.3610608473262939,0.448869856563392,0.448869856563392,0.44795908996364414,0.4469508733024247,0.4469508733024247,0.44257459414148465,0.44180645489119547,0.44125614338350916,0.4400199426722833,0.43810882277886426,0.428595436124651,0.4143811578552746,0.39576373373968904,0.3608620225413275,0.30346064963159075,0.25251819173741785,0.19254101280025218,0.09334625185894146,0.024793980607263722,0.36366468128731694,0.33606953162723324,0.33606953162723324,0.33542471042471045,0.33413693346190937,0.33413693346190937,0.33156881616939365,0.3309283309283309,0.33028846153846153,0.32901056676272816,0.3264621284755513,0.31761904761904763,0.3058046248230297,0.2905783582089552,0.2646252285191956,0.22001763668430335,0.17895185342991052,0.12846655791190864,0.06096625766871166,0.008749544294567991,0.2684144765072154,0.5995311361778711,0.5995311361778711,0.5982485489127316,0.5978539429211969,0.5978539429211969,0.5907439476438326,0.5898344908577768,0.5895058615331455,0.5884842905028951,0.5879375396250797,0.5783470772420504,0.5615080023228824,0.5390247708363314,0.49209744679793976,0.41854992746314185,0.35632733573955483,0.2885734794542226,0.14292369368416682,0.07025982767297052,0.4940598104466768,0.3413437959784208,0.3413437959784208,0.34085335948994605,0.33987248651299656,0.33987248651299656,0.3379107405590976,0.33742030407062285,0.3369298675821481,0.3359489946051986,0.33398724865129964,0.3271211378126533,0.31780284453163316,0.30554193231976456,0.2839627268268759,0.24472780774889652,0.20598332515939186,0.15448749386954388,0.07797940166748406,0.011770475723393821,0.279729485557936,0.9560439560439561,0.9560439560439561,0.9546703296703297,0.9519230769230769,0.9519230769230769,0.9464285714285714,0.945054945054945,0.9436813186813187,0.9409340659340659,0.9354395604395604,0.9162087912087912,0.8901098901098901,0.8557692307692307,0.7953296703296703,0.6854395604395604,0.5769230769230769,0.4326923076923077,0.2184065934065934,0.03296703296703297,0.7834731058415269,0.6008418188246942,0.6008418188246942,0.6000309673961775,0.6000563946515425,0.6000563946515425,0.5955149073275636,0.5948543185300746,0.5946981710176374,0.593806778816229,0.5934751536847719,0.5882651582100286,0.5768450683223687,0.5607387639381366,0.5268696452966994,0.46929763470110614,0.4124965679253707,0.3532736406625162,0.202122104219378,0.09947692487431475,0.5138716964144656,0.994656180681589,0.994656180681589,0.993243104414877,0.9918812770709955,0.9918812770709955,0.9863505368388893,0.9852405812238297,0.9838491170471712,0.9823421071699365,0.9787616686528385,0.9693156784257894,0.9514205766251499,0.9290658439596109,0.88291402311643,0.7880336049870195,0.7110281954488729,0.5902576743779318,0.32837498637945856,0.22106350166613456,0.8554913745178478,0.804377576366175,0.804377576366175,0.8053265732364895,0.8070899907322655,0.8070899907322655,0.8101823188257833,0.810890145714276,0.8114884850636461,0.8125472468504885,0.8144724234995331,0.8203991043714806,0.8276634672161095,0.8356272811242319,0.8478638518852508,0.8674455579997754,0.8843360702242685,0.9037370749058595,0.9309711355808592,0.9657843563557086,0.8406142224763496,0.45237841883782437,0.45237841883782437,0.45156951591852373,0.45077056930574594,0.45077056930574594,0.44678711354417133,0.44611896760457526,0.44567042965095055,0.44463547512023965,0.44312937302575056,0.4349592555148608,0.4224320541406475,0.4058259110130241,0.37381457015114655,0.32004813103893354,0.2709197103586605,0.21114211715831865,0.10557037518924568,0.028757461570078347,0.37145675985717197,696.0,696.0,695.0,693.0,693.0,689.0,688.0,687.0,685.0,681.0,667.0,648.0,623.0,579.0,499.0,420.0,315.0,159.0,24.0,570.3684210526316,1343.0,1343.0,1344.0,1346.0,1346.0,1350.0,1351.0,1352.0,1354.0,1358.0,1372.0,1391.0,1416.0,1460.0,1540.0,1619.0,1724.0,1880.0,2015.0,1468.6315789473683,32.0,32.0,33.0,35.0,35.0,39.0,40.0,41.0,43.0,47.0,61.0,80.0,105.0,149.0,229.0,308.0,413.0,569.0,704.0,157.6315789473684,0.31535066208925944,0.8148974453594563,0.3158410985777342,0.33643943109367336,0.9423076923076923,0.027777777777777776,0.5277777777777778,0.4444444444444444,0.25307486391200934,0.49584387423202025,0.19090909090909092,0.3158410985777342,559.019647516587,686,1353,42,1,1,19,16,32.0,220,0.49222985182508133,0.33398724865129964,0.9354395604395604,681,1358,47,728,2039,28,36
Tracking2,0.3595741822483201,0.8184039395481597,0.29427692731183314,0.3595741822483201,0.3595741822483201,0.3595741822483201,0.3595741822483201,0.3595741822483201,0.3595741822483201,0.3595741822483201,0.3595741822483201,0.35896499580520147,0.35896499580520147,0.35665317811177627,0.35342943825351425,0.33492458777346984,0.3005139355537512,0.255842329016924,0.21375580772262,0.15576691350748392,0.10237759114237313,0.028733227365889864,0.29981686621288245,0.28632707774798927,0.28632707774798927,0.28632707774798927,0.28632707774798927,0.28632707774798927,0.28632707774798927,0.28632707774798927,0.28632707774798927,0.28563772775991425,0.28563772775991425,0.2822020309994655,0.2774227902023429,0.26462836056932,0.23596084492529623,0.19531639262580966,0.15503129513721714,0.10757156048014774,0.062444641275465014,0.01351922264469793,0.23452574822965813,0.45155908255853416,0.45155908255853416,0.45155908255853416,0.45155908255853416,0.45155908255853416,0.45155908255853416,0.45155908255853416,0.45155908255853416,0.45111641667215246,0.45111641667215246,0.4507461870728752,0.45025993622617577,0.42389439761444,0.3827271659863538,0.3351244431500654,0.29472465733262704,0.22555526047356877,0.1678474077844219,0.061068478311044866,0.38456070672442905,0.28787061994609164,0.28787061994609164,0.28787061994609164,0.28787061994609164,0.28787061994609164,0.28787061994609164,0.28787061994609164,0.28787061994609164,0.2873315363881402,0.2873315363881402,0.2846361185983827,0.28086253369272235,0.2706199460916442,0.246900269541779,0.21132075471698114,0.17358490566037735,0.12560646900269543,0.07601078167115903,0.01725067385444744,0.24023265711448438,0.9816176470588235,0.9816176470588235,0.9816176470588235,0.9816176470588235,0.9816176470588235,0.9816176470588235,0.9816176470588235,0.9816176470588235,0.9797794117647058,0.9797794117647058,0.9705882352941176,0.9577205882352942,0.9227941176470589,0.8419117647058824,0.7205882352941176,0.5919117647058824,0.42830882352941174,0.25919117647058826,0.058823529411764705,0.8191756965944271,0.4588030669025975,0.4588030669025975,0.4588030669025975,0.4588030669025975,0.4588030669025975,0.4588030669025975,0.4588030669025975,0.4588030669025975,0.4585303396985373,0.4585303396985373,0.45874754408027923,0.45956219650622915,0.44133765677277254,0.4114777090700237,0.3749528504346557,0.3404514454366099,0.2803321997841253,0.2189908141324682,0.0760638765075885,0.4026000793338214,0.9540778858359824,0.9540778858359824,0.9540778858359824,0.9540778858359824,0.9540778858359824,0.9540778858359824,0.9540778858359824,0.9540778858359824,0.9522406335892706,0.9522406335892706,0.9469114729225023,0.9406685322881552,0.9149800875189,0.8516294252634636,0.769494859904538,0.6916621405230281,0.5898065669294592,0.48116065075610154,0.2975654826480298,0.8432096617168726,0.8184039395481597,0.8184039395481597,0.8184039395481597,0.8184039395481597,0.8184039395481597,0.8184039395481597,0.8184039395481597,0.8184039395481597,0.8191059734105071,0.8191059734105071,0.8219320283107732,0.825145517573455,0.8327363291507267,0.8476819313496098,0.8679981525578423,0.8881653999344462,0.9118161119945515,0.9344881715354446,0.9661402198021974,0.8463972276534389,0.3605420822018057,0.3605420822018057,0.3605420822018057,0.3605420822018057,0.3605420822018057,0.3605420822018057,0.3605420822018057,0.3605420822018057,0.36002773933729326,0.36002773933729326,0.3581880025369969,0.3556137602917065,0.33869496457870424,0.3074011067693022,0.2661179254589586,0.22618521578315218,0.16831874474659145,0.1129522583535703,0.03245723959506157,0.30370112391595144,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,533.0,533.0,528.0,521.0,502.0,458.0,392.0,322.0,233.0,141.0,32.0,445.63157894736844,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1321.0,1322.0,1322.0,1327.0,1334.0,1353.0,1397.0,1463.0,1533.0,1622.0,1714.0,1823.0,1409.3684210526317,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,16.0,23.0,42.0,86.0,152.0,222.0,311.0,403.0,512.0,98.36842105263158,0.27816711590296495,0.8188343397874308,0.28247978436657684,0.28787061994609164,0.9816176470588235,0.08108108108108109,0.5135135135135135,0.40540540540540543,0.22601484498462968,0.4451854939558149,0.045454545454545456,0.2819929434032388,437.2575374464881,534,1321,10,8,3,19,15,25.0,220,0.4001667361400584,0.2587601078167116,0.8823529411764706,480,1375,64,544,1855,37,37
COMBINED,0.4089963364980363,0.8104670706256708,0.3314780627381946,0.4089963364980363,0.4089963364980363,0.4084811106711171,0.40792023314733866,0.40792023314733866,0.40543953287058543,0.40500753749165297,0.40470085557019364,0.40374287020117494,0.40268284081416744,0.39632900188773346,0.3869404932011193,0.368456661987271,0.3338544877879701,0.2821078535898291,0.23511704054749732,0.1762507255549457,0.09764105459915888,0.026691053970492058,0.33511980315977147,0.3125,0.3125,0.31216662433324865,0.3115003808073115,0.3115003808073115,0.31016992137966015,0.30983772819472616,0.30950570342205325,0.30851063829787234,0.30718623481781376,0.300931755225384,0.29246935201401053,0.27839643652561247,0.25115039961249697,0.20842105263157895,0.16772151898734178,0.11866608921611087,0.06165228113440197,0.010958904109589041,0.25240765271139604,0.5352896104602077,0.5352896104602077,0.5345120354602162,0.5341852750861017,0.5341852750861017,0.5299714881544219,0.5294097216009883,0.5291753292051828,0.5283717480137442,0.5278669807009361,0.5219677717949169,0.5119269566116899,0.48765103985198516,0.44379311833920654,0.38184645961720926,0.329594097940322,0.26177923671244824,0.1546378393112867,0.06500762803758443,0.4461295380234082,0.31587057010785824,0.31587057010785824,0.31561376476630715,0.3151001540832049,0.3151001540832049,0.3140729327170005,0.3138161273754494,0.3135593220338983,0.31278890600924497,0.31176168464304055,0.3068823831535696,0.30020544427324086,0.2889060092449923,0.26630713918849513,0.2288135593220339,0.19054956343091936,0.14072932717000514,0.07704160246533127,0.014381099126861838,0.26091422701592193,0.9669811320754716,0.9669811320754716,0.9661949685534591,0.964622641509434,0.964622641509434,0.9614779874213837,0.960691823899371,0.9599056603773585,0.9575471698113207,0.9544025157232704,0.9394654088050315,0.9190251572327044,0.8844339622641509,0.815251572327044,0.7004716981132075,0.5833333333333334,0.4308176100628931,0.2358490566037736,0.0440251572327044,0.79874213836478,0.5391762143316864,0.5391762143316864,0.5386675020881452,0.5385818412546911,0.5385818412546911,0.5358222476489602,0.535401480257511,0.5352649313801016,0.5346094536522473,0.5342283778572076,0.5310389655234112,0.52457442998515,0.5074593365630141,0.4759058007529988,0.42779016507995177,0.381231703449116,0.322260217807288,0.21005039787853041,0.08609804009332832,0.4650483769047219,0.9770392624315453,0.9770392624315453,0.9762258328761222,0.9754289454332637,0.9754289454332637,0.9722592893854533,0.9716228403587638,0.9708287751415406,0.9691696232467059,0.9671177545763298,0.9594165817682699,0.9466286047692267,0.9227804664189558,0.8690969104677718,0.7798773894176225,0.7026240584055817,0.5900658713934535,0.4001842486364807,0.2647789193700747,0.8509270306295773,0.8104670706256708,0.8104670706256708,0.8110086835785822,0.8120139097768355,0.8120139097768355,0.8137721352327735,0.8141735875369388,0.8145129344450797,0.8154173628246182,0.8165067580156361,0.8210764130241555,0.8265412672470563,0.8343372741102768,0.8477835051105898,0.8676886747974882,0.8859978548154777,0.9071721399453947,0.9326241424795144,0.9659877068965593,0.8431348632034292,0.41119610215671937,0.41119610215671937,0.4107302713758759,0.4102704747951159,0.4102704747951159,0.4079824745513615,0.4075994463045024,0.40734243268120507,0.4065326813768009,0.4056706782240481,0.40022832700570143,0.3920245648490161,0.37534692729234875,0.34378085423195887,0.29558695427831544,0.25060728535287247,0.19193753111265224,0.10914919579327154,0.030575826118204308,0.3409488739185161,1230.0,1230.0,1229.0,1227.0,1227.0,1223.0,1222.0,1221.0,1218.0,1214.0,1195.0,1169.0,1125.0,1037.0,891.0,742.0,548.0,300.0,56.0,1016.0,2664.0,2664.0,2665.0,2667.0,2667.0,2671.0,2672.0,2673.0,2676.0,2680.0,2699.0,2725.0,2769.0,2857.0,3003.0,3152.0,3346.0,3594.0,3838.0,2878.0,42.0,42.0,43.0,45.0,45.0,49.0,50.0,51.0,54.0,58.0,77.0,103.0,147.0,235.0,381.0,530.0,724.0,972.0,1216.0,256.0,0.29763739085772983,0.8166206434123566,0.29994863893168977,0.3133025166923472,0.9591194968553459,0.0547945205479452,0.5205479452054794,0.4246575342465753,0.2401841769293978,0.4723190089043748,0.11818181818181818,0.2997035843581306,996.2771849630751,1220,2674,52,9,4,38,31,57.0,440,0.44947735191637633,0.2981510015408321,0.9127358490566038,1161,2733,111,1272,3894,65,73
