seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Tracking1,0.5237130595461761,0.7935535074751509,0.41559433531341056,0.5237130595461761,0.5222385345790741,0.5207841926888198,0.5190841190434764,0.5177015879321595,0.5173347327021929,0.5160575206566118,0.5140931779764032,0.5135911122188224,0.512941640739063,0.506921751731346,0.49660724036402265,0.48319000899844616,0.44365739774888446,0.37112781106628423,0.28930358839267306,0.18315520433575216,0.09503653722463364,0.02489470680304202,0.424812311828836,0.4720468890892696,0.4647824136384029,0.4608501118568233,0.4582402858418937,0.45434298440979953,0.4524021352313167,0.45111111111111113,0.44853593611357584,0.44789356984478934,0.44661054497120073,0.44213780918727913,0.43013578624616733,0.4115866839602248,0.37589549093973873,0.3117717959019687,0.2348714069591528,0.1436077057793345,0.06594841658504734,0.011462205700123915,0.36759122544038003,0.5810341622383784,0.5867973464492635,0.5885127688518543,0.588006622220268,0.5898956148638151,0.5915870081453204,0.5903542565606511,0.5892321536862438,0.5889252454362639,0.589124304758743,0.581198117507137,0.5733509256094073,0.5672500931018482,0.5236346040896425,0.44178419586792983,0.3563505977184916,0.23359351570463194,0.13695466662192782,0.05406868826326566,0.49219236251026754,0.5134870034330554,0.5080922020598333,0.5051495831289848,0.5031878371750859,0.5002452182442374,0.49877390877881317,0.4977930358018637,0.4958312898479647,0.49534085335948996,0.4943599803825405,0.49092692496321727,0.48160863168219714,0.4668955370279549,0.4374693477194703,0.3805787150564002,0.30456105934281513,0.20107896027464445,0.09906817067189799,0.018146150073565473,0.415399705738107,0.8539967373572593,0.8450244698205547,0.8401305057096248,0.8368678629690048,0.831973898858075,0.8295269168026101,0.8278955954323002,0.8246329526916802,0.8238172920065253,0.8221859706362153,0.8164763458401305,0.800978792822186,0.7765089722675367,0.7275693311582382,0.632952691680261,0.5065252854812398,0.33442088091353994,0.16476345840130505,0.030179445350734094,0.6908646003262642,0.5938195593112269,0.5996450378001958,0.601597052204337,0.6013891624768448,0.6034436519930859,0.6051511324416586,0.604287689108828,0.6033892314188569,0.6031450623410538,0.6033379049628567,0.5983337573837547,0.5928129472831243,0.5894401606643215,0.5619183314642832,0.4967639398033817,0.4280956263077957,0.3106540131467355,0.19229231993044543,0.08835628800338352,0.5198880456866405,0.9442246256456084,0.9512206049105363,0.9513779192546049,0.9502349631972014,0.9512412472944398,0.9538316361796603,0.9522167506662103,0.9509993371345726,0.9504107676213845,0.9500821605965579,0.9449287025758837,0.9333975904946394,0.9204891656101213,0.8787123291801339,0.7968901662156079,0.6759570933449149,0.4990006286270003,0.33144656853666177,0.13424918934028804,0.8221532340224225,0.7935535074751509,0.8011141598865681,0.8050255608868426,0.8074904485483404,0.8109501088391295,0.8125411262244872,0.8135121803759642,0.8151792672566777,0.8155507145830734,0.8162399646202344,0.8182555954265198,0.8228939886808443,0.82910418771123,0.839343543932807,0.856393061129273,0.876266283083641,0.9021639181985855,0.9295644455636399,0.96261866687915,0.8383031962790609,0.5462174391760306,0.5460285303171192,0.5452402955134541,0.5439464867793931,0.5432241347720734,0.5432017713846348,0.5421016856382932,0.5405180281749578,0.5401099273660372,0.5396660817055394,0.5341589694296908,0.5254814504399444,0.5146324288732151,0.478616849572222,0.41004104867152236,0.32943969939670165,0.21672734314060654,0.11648110699686037,0.03132313093396072,0.4519556004359082,1047.0,1036.0,1030.0,1026.0,1020.0,1017.0,1015.0,1011.0,1010.0,1008.0,1001.0,982.0,952.0,892.0,776.0,621.0,410.0,202.0,37.0,847.0,992.0,1003.0,1009.0,1013.0,1019.0,1022.0,1024.0,1028.0,1029.0,1031.0,1038.0,1057.0,1087.0,1147.0,1263.0,1418.0,1629.0,1837.0,2002.0,1192.0,179.0,190.0,196.0,200.0,206.0,209.0,211.0,215.0,216.0,218.0,225.0,244.0,274.0,334.0,450.0,605.0,816.0,1024.0,1189.0,379.0,0.38499264345267287,0.8162399646202344,0.3874448258950466,0.4943599803825405,0.8221859706362153,0.1111111111111111,0.7222222222222222,0.16666666666666666,0.294149035967237,0.617457886676876,0.990909090909091,0.3871020255005708,822.7698843371962,1008,1031,218,5,4,26,6,42.0,220,0.5862174578866769,0.4693477194703286,0.7805872756933115,957,1082,269,1226,2039,58,36
Tracking2,0.37894758714676924,0.7791284658960996,0.29524885222869085,0.37894758714676924,0.37838474305602904,0.37766267470987297,0.37766267470987297,0.37766267470987297,0.37766267470987297,0.37766267470987297,0.37724921603502853,0.3766671315443565,0.3724538907259336,0.3639206674159503,0.35270007250756763,0.3267171350666443,0.28191401781552533,0.24714973387898903,0.19838582604908356,0.14008814838695036,0.08309210454755504,0.016174119242902754,0.30432409299835,0.3336875664187035,0.33085896076352067,0.3273400317292438,0.3273400317292438,0.3273400317292438,0.3273400317292438,0.3273400317292438,0.3266384778012685,0.3259376650818806,0.3224446786090622,0.3120752744380554,0.2984997413347129,0.27217435377597565,0.23402163225172073,0.19751908396946566,0.15137614678899083,0.0994305738063951,0.04757929883138564,0.008437123342707915,0.25775688083474024,0.43034649251560864,0.43273730125722837,0.43572151904411627,0.43572151904411627,0.43572151904411627,0.43572151904411627,0.43572151904411627,0.43570179470904624,0.43529221438771604,0.4302192280402761,0.42437918995969265,0.41674187250753625,0.39219009750645356,0.3396075511318803,0.309251084649106,0.25999430433407994,0.19737077407092277,0.14511138263322626,0.031006081416332047,0.3609766823336677,0.33854447439353097,0.3363881401617251,0.3336927223719677,0.3336927223719677,0.3336927223719677,0.3336927223719677,0.3336927223719677,0.33315363881401616,0.3326145552560647,0.3299191374663073,0.32183288409703503,0.3110512129380054,0.2894878706199461,0.25660377358490566,0.22318059299191376,0.1778975741239892,0.12237196765498652,0.061455525606469004,0.011320754716981131,0.2691729323308271,0.9587786259541985,0.9526717557251908,0.9450381679389313,0.9450381679389313,0.9450381679389313,0.9450381679389313,0.9450381679389313,0.9435114503816794,0.9419847328244275,0.934351145038168,0.9114503816793893,0.8809160305343512,0.8198473282442749,0.7267175572519083,0.6320610687022901,0.5038167938931297,0.3465648854961832,0.17404580152671756,0.03206106870229008,0.7623141824025714,0.4466732055554043,0.44914829043251175,0.4522517898307141,0.4522517898307141,0.4522517898307141,0.4522517898307141,0.4522517898307141,0.4522056451042764,0.4519619523045036,0.447805547007106,0.4428545220230194,0.43567089149154714,0.416978716255687,0.3747157193016266,0.34978585527060124,0.3083568458928606,0.24618662415289808,0.1937670301294751,0.0475723614641664,0.3855232713441713,0.9216909773229948,0.9240507180201203,0.9257451041569087,0.9257451041569087,0.9257451041569087,0.9257451041569087,0.9257451041569087,0.92540429747049,0.9237301823394319,0.9169601597083739,0.9013141708902296,0.8871372804421451,0.8608776998102137,0.7832660527170637,0.7289371092323039,0.6358868501891904,0.5218385415510068,0.344109212697215,0.0976539497084812,0.7895569854149371,0.7791284658960996,0.7836107780208573,0.7890802608355088,0.7890802608355088,0.7890802608355088,0.7890802608355088,0.7890802608355088,0.789721895322481,0.7902777666807697,0.7928081371811703,0.7995103879563682,0.8072646313164298,0.8207830239936061,0.8393547154662333,0.8563908153363795,0.8770502413187058,0.9007458332660774,0.9278958536903709,0.9613876359177211,0.8248069202916217,0.38169546383969033,0.3815333484094453,0.3813097164850121,0.3813097164850121,0.3813097164850121,0.3813097164850121,0.3813097164850121,0.38099296364252744,0.3805056192686223,0.3767460107771129,0.36956620334588414,0.36003897695322484,0.33694847707828013,0.29520260696404643,0.26271437047748264,0.2150636092580216,0.15541122861829068,0.0944346138405106,0.018735320719140146,0.31137565240091264,628.0,624.0,619.0,619.0,619.0,619.0,619.0,618.0,617.0,612.0,597.0,577.0,537.0,476.0,414.0,330.0,227.0,114.0,21.0,499.3157894736842,1227.0,1231.0,1236.0,1236.0,1236.0,1236.0,1236.0,1237.0,1238.0,1243.0,1258.0,1278.0,1318.0,1379.0,1441.0,1525.0,1628.0,1741.0,1834.0,1355.6842105263158,27.0,31.0,36.0,36.0,36.0,36.0,36.0,37.0,38.0,43.0,58.0,78.0,118.0,179.0,241.0,325.0,428.0,541.0,634.0,155.68421052631578,0.3051212938005391,0.7927664087154105,0.3078167115902965,0.33045822102425876,0.9358778625954198,0.0,0.6756756756756757,0.32432432432432434,0.23663924988816532,0.48844621513944225,0.19090909090909092,0.30743990835345764,485.96580854254665,613,1242,42,5,0,25,12,39.0,220,0.44143426294820715,0.2986522911051213,0.8458015267175573,554,1301,101,655,1855,38,37
COMBINED,0.46291767301656284,0.7881451933786469,0.36484633891803214,0.46291767301656284,0.46190217068875744,0.46074182323674984,0.45976265449823106,0.4590075144477346,0.4588280941682745,0.4580760429446916,0.4567596541890303,0.45623025423721275,0.4541906666527609,0.4471423086688611,0.4365561571174929,0.41849121564505715,0.3777133922277514,0.3204598947982398,0.25230769141479326,0.16540907165977592,0.08998945642359868,0.021536522243836047,0.3746327504357585,0.40853658536585363,0.40340218712029163,0.3996606883179835,0.3983050847457627,0.3962765957446808,0.39526455665619714,0.39459067858005314,0.39290882778581765,0.39223722275795564,0.3898916967509025,0.3825712233660522,0.36978178368121445,0.34741017265515634,0.31041524846834584,0.2595419847328244,0.19713930348258707,0.12397820163487738,0.05788605971789705,0.010145181039006471,0.3173654359264979,0.5245375314408266,0.5288856186180406,0.5311581396032249,0.530702987651248,0.5316687903901156,0.532613452061185,0.5317755145026738,0.5309867504646919,0.5306636718917316,0.5290934979984333,0.5226118222969841,0.5153884986435447,0.5041156286057253,0.4596017991131112,0.39567603784726335,0.32291465995103014,0.2206852545572976,0.13989727936018106,0.045718434060065566,0.4436155457398618,0.43014894709809964,0.4262968669748331,0.4234720082177709,0.4224447868515665,0.4209039548022599,0.42013353877760656,0.4196199280945044,0.41833590138674887,0.4178222907036466,0.41602465331278893,0.41037493579866463,0.40035952747817155,0.38238315356959424,0.35130970724191063,0.30559835644581407,0.24422187981510016,0.16358500256805342,0.08115048793014895,0.014894709809964048,0.34574108615143406,0.8904837852206273,0.8825093035619351,0.8766613503455609,0.8745348219032429,0.8713450292397661,0.8697501329080276,0.8686868686868687,0.8660287081339713,0.8649654439128124,0.861244019138756,0.8495481127060075,0.8288144603934078,0.7916002126528442,0.7272727272727273,0.63264221158958,0.5055821371610846,0.33864965443912814,0.16799574694311536,0.03083466241360978,0.7157447046643723,0.5386506577239693,0.5430727665005363,0.5455359743333409,0.5452699930738327,0.5463431256486637,0.5472998530552439,0.5466926942170578,0.5460341323750197,0.5458125614851524,0.5445812364017953,0.5402479604436051,0.5346532512011871,0.5272428499541558,0.49678058044862194,0.4456303877054228,0.3865458917789539,0.28768054799508547,0.19282433563515866,0.073589693911598,0.4702362365204421,0.9357761891401747,0.9410073462240185,0.9417558983052574,0.9410196302209454,0.9416121364938713,0.9432047637333991,0.94218862998735,0.9412892484222319,0.9402928074990953,0.9375694047054661,0.9286346628910679,0.9162762313539792,0.8989906047407121,0.8455014902938609,0.7732493547945257,0.662052592565326,0.5071390999515677,0.33601473763255757,0.12099918878394418,0.8102407377757553,0.7881451933786469,0.7945345753780118,0.7990400298184523,0.8005628459986487,0.8026905384216547,0.8036644296011511,0.8042567592036619,0.8055214060809052,0.8059665665463668,0.8073879409210324,0.8112525360650176,0.8171094221643164,0.8261032038855993,0.8393474311037945,0.8563922798198126,0.8765383190642628,0.9016585723906116,0.928962485204296,0.9621729487724257,0.8332267096746668,0.47500449141319484,0.4748286872177345,0.47426849363940754,0.4734899265030049,0.473055489895354,0.47304204296766555,0.47238078195247324,0.47130756505711596,0.4708748357929224,0.46916515117264307,0.4631055959743393,0.4542473949123031,0.4390504798197761,0.4018240578838984,0.3477325795077525,0.28082525754122334,0.19000209981336272,0.10654920215646409,0.026095264096970796,0.3914131261746108,1675.0,1660.0,1649.0,1645.0,1639.0,1636.0,1634.0,1629.0,1627.0,1620.0,1598.0,1559.0,1489.0,1368.0,1190.0,951.0,637.0,316.0,58.0,1346.3157894736842,2219.0,2234.0,2245.0,2249.0,2255.0,2258.0,2260.0,2265.0,2267.0,2274.0,2296.0,2335.0,2405.0,2526.0,2704.0,2943.0,3257.0,3578.0,3836.0,2547.684210526316,206.0,221.0,232.0,236.0,242.0,245.0,247.0,252.0,254.0,261.0,283.0,322.0,392.0,513.0,691.0,930.0,1244.0,1565.0,1823.0,534.6842105263158,0.34694401643554185,0.8073631664896624,0.3495120698510529,0.41628145865434,0.8617756512493354,0.0547945205479452,0.6986301369863014,0.2465753424657534,0.2667528743913053,0.5613852813852814,0.5909090909090909,0.3492552645095018,1308.7356928797428,1621,2273,260,10,4,51,18,81.0,440,0.5232900432900432,0.38803287108371853,0.8032961190855927,1511,2383,370,1881,3894,96,73
