seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Tracking1,0.5638291681331763,0.7716733024705659,0.4350919162025601,0.5638291681331763,0.5598683527600101,0.5569476372424556,0.5546209523587932,0.5532487080635,0.5532487080635,0.5523566097619079,0.5500365029866728,0.5474615591420615,0.5445239039921113,0.5330763163531878,0.5167045697917464,0.488313362290989,0.427658934630224,0.3626623414046214,0.2957080747858143,0.21368506035681903,0.09785135457284294,0.03292680363057516,0.44761731159584256,0.5253807106598984,0.5094181665969024,0.5025,0.49378624689312345,0.4876237623762376,0.4876237623762376,0.48701030927835054,0.4845615479621243,0.4809034907597536,0.47545008183306053,0.46288032454361056,0.44703049759229535,0.4196850393700787,0.3648750946252839,0.3013352580295922,0.23535457348406988,0.16661274668392106,0.07353378981839834,0.017494356659142212,0.39068735576537267,0.6050913640100163,0.6153148689536999,0.6172948669252813,0.6229505230872774,0.6277055315810582,0.6277055315810582,0.6264709771745102,0.6243585688756635,0.623231406086811,0.623632834125621,0.6139175592241243,0.5972380271181641,0.5681640216430618,0.5012459525550329,0.4364705767692343,0.37153841626728107,0.2740564928463779,0.13021071830224873,0.061972807485886544,0.5141353181374954,0.6091221186856303,0.5968612064737616,0.5914664051005395,0.5846002942618931,0.5796959293771456,0.5796959293771456,0.579205492888671,0.577243746934772,0.5743011280039235,0.5698871996076508,0.5595880333496812,0.5463462481608632,0.5228052967140755,0.4727807748896518,0.40951446787641,0.3369298675821481,0.2525747915644924,0.1211378126532614,0.030407062285434036,0.47864020030458687,0.7925973197192087,0.7766432673899171,0.7696234843650287,0.7606892150606254,0.7543075941289088,0.7543075941289088,0.7536694320357371,0.7511167836630505,0.7472878111040204,0.7415443522654754,0.7281429483088705,0.7109125717932355,0.6802807913209955,0.6151882578174857,0.5328653477983408,0.4384173580089343,0.32865347798340777,0.15762603701340142,0.03956604977664327,0.6228126154569577,0.6337541888639575,0.6441852861854506,0.6464532591474941,0.6521557831569095,0.6569543434691651,0.6569543434691651,0.6561981659445836,0.65476476569129,0.6536318825050841,0.653363930115668,0.6471449088807226,0.636544311489325,0.6178773800057598,0.5704659568397019,0.5159522445295529,0.4573935404969387,0.36461598517346344,0.20000356499567554,0.10641994969065056,0.5592017784552925,0.9050215809489749,0.9148465276369435,0.916302980435116,0.9174333855986818,0.9232775656318044,0.9232775656318044,0.9224187828762005,0.919603148773326,0.9174507351563702,0.9155879443297726,0.9024709455929026,0.8857780185616602,0.8537313098780474,0.7889053597473604,0.7128880329978489,0.6308618324694146,0.5098207106480674,0.2766300892741983,0.13177358122964902,0.7825305314430601,0.7716733024705659,0.7858186152214707,0.7918649491807268,0.7991273829926517,0.8040389976438835,0.8040389976438835,0.8044299853535466,0.8058367419486233,0.8077755328990668,0.8103547944703204,0.815495527628527,0.8213128108419381,0.8299144587265457,0.845930430142361,0.8645974452029899,0.883737888840811,0.9024648566549077,0.9324867816007801,0.964262224266167,0.8339558801963034,0.6071033961724799,0.6060178009307564,0.6042426464817855,0.6034708436266185,0.6032232932381315,0.6032232932381315,0.6023748260965174,0.6003391372621144,0.5982662446796801,0.5961546522700572,0.5861236384970872,0.5712256606412257,0.545012990595053,0.48680535109966705,0.4227777382849796,0.3538112341272052,0.2630964871631123,0.12559236282172737,0.043409803238745104,0.4959090210771092,1242.0,1217.0,1206.0,1192.0,1182.0,1182.0,1181.0,1177.0,1171.0,1162.0,1141.0,1114.0,1066.0,964.0,835.0,687.0,515.0,247.0,62.0,975.9473684210526,797.0,822.0,833.0,847.0,857.0,857.0,858.0,862.0,868.0,877.0,898.0,925.0,973.0,1075.0,1204.0,1352.0,1524.0,1792.0,1977.0,1063.0526315789473,325.0,350.0,361.0,375.0,385.0,385.0,386.0,390.0,396.0,405.0,426.0,453.0,501.0,603.0,732.0,880.0,1052.0,1320.0,1505.0,591.0526315789474,0.36733692986758215,0.8103547944703204,0.3712604217753801,0.5698871996076508,0.7415443522654754,0.2222222222222222,0.6388888888888888,0.1388888888888889,0.2592605547692557,0.6444814198557959,1.8409090909090908,0.37081751349338304,941.6322711745123,1162,877,405,8,8,23,5,43.0,220,0.5917914586799778,0.5232957332025503,0.6809189534141672,1067,972,500,1567,2039,70,36
Tracking2,0.6045554423510293,0.7712700096067624,0.46627548182989886,0.6045554423510293,0.603703161544263,0.603703161544263,0.603394423660228,0.6025856047822545,0.6025856047822545,0.5984475276381004,0.5972402200613705,0.5935675215852602,0.5892128146789001,0.5717176311577751,0.5417383528705836,0.4898048306481973,0.4316076771659661,0.3568590731803085,0.2722288572781931,0.17677464449468722,0.10210934822813582,0.019444364719654206,0.471646329598496,0.5734856007944389,0.5695889053987122,0.5695889053987122,0.5680356259277586,0.5672601384767557,0.5672601384767557,0.5626232741617357,0.5610837438423645,0.556483300589391,0.5496332518337408,0.5294401544401545,0.49551675318546484,0.43264014466546113,0.36949006050129646,0.29188748471259685,0.20861937452326468,0.13138164941092467,0.06556825823806321,0.009878903760356916,0.43049819307041837,0.6373085607902728,0.6398606149173819,0.6398606149173819,0.6409542181612429,0.6401109234747936,0.6401109234747936,0.6365528405659265,0.6357266350585401,0.633123046653352,0.631642535861073,0.6173710985754193,0.5922714844337209,0.5545226791467043,0.5041683306334764,0.4362927661543992,0.35523330900757955,0.23785113884880643,0.1590147317581496,0.03827178890720092,0.5194867495442219,0.6226415094339622,0.6199460916442049,0.6199460916442049,0.6188679245283019,0.6183288409703505,0.6183288409703505,0.6150943396226415,0.6140161725067386,0.6107816711590297,0.6059299191374663,0.5913746630727763,0.5660377358490566,0.5159029649595688,0.4609164420485175,0.38598382749326143,0.29487870619946094,0.19838274932614555,0.10512129380053908,0.016711590296495958,0.489431124982267,0.8789954337899544,0.8751902587519026,0.8751902587519026,0.8736681887366818,0.8729071537290716,0.8729071537290716,0.8683409436834094,0.8668188736681888,0.8622526636225266,0.8554033485540334,0.834855403348554,0.7990867579908676,0.728310502283105,0.6506849315068494,0.5449010654490106,0.4162861491628615,0.2800608828006088,0.14840182648401826,0.02359208523592085,0.6909396779620284,0.6526379457070014,0.6552414702730688,0.6552414702730688,0.6563597606018338,0.655612770075125,0.655612770075125,0.6531603836028248,0.6526132664717611,0.651007336607359,0.6503145338347819,0.6409457020622522,0.6233971743169754,0.598210138411837,0.5656805336036694,0.5175766116713374,0.4562390402091338,0.3408143221763342,0.246775162882318,0.0662514704657414,0.5575627296485026,0.942905113591407,0.9449032517664419,0.9449032517664419,0.9462646484795169,0.9457528187629922,0.9457528187629922,0.9418468737441023,0.94051097755831,0.9365412012294749,0.9307623045761964,0.9150551503941146,0.8892432740753691,0.8480887951663957,0.7879256777271514,0.7082087252117086,0.5881393875206463,0.4382678062919506,0.31650271463466895,0.09561020561486668,0.7898518419407762,0.7712700096067624,0.7743404974787211,0.7743404974787211,0.7754211468424473,0.7758932546851861,0.7758932546851861,0.7782526142310047,0.7789962093923024,0.7808676698608853,0.7832013620177176,0.7895196080806733,0.799002730640545,0.8156522529507568,0.8322142696777108,0.8530564637801784,0.8771432570014236,0.9028388961505165,0.9280063156778428,0.9623168992420064,0.8172751162884521,0.6299323489595066,0.6298246481482671,0.6298246481482671,0.6298142636612073,0.6291256197331577,0.6291256197331577,0.625731611078436,0.6247771084308651,0.6218520342366266,0.6186526575373973,0.604233088642875,0.5790060535580117,0.5348643700127242,0.48205754132584894,0.41036806867481473,0.32365218763219933,0.21722238111019088,0.12928973020221815,0.025289967499605857,0.5039286288592305,1155.0,1150.0,1150.0,1148.0,1147.0,1147.0,1141.0,1139.0,1133.0,1124.0,1097.0,1050.0,957.0,855.0,716.0,547.0,368.0,195.0,31.0,907.8947368421053,700.0,705.0,705.0,707.0,708.0,708.0,714.0,716.0,722.0,731.0,758.0,805.0,898.0,1000.0,1139.0,1308.0,1487.0,1660.0,1824.0,947.1052631578947,159.0,164.0,164.0,166.0,167.0,167.0,173.0,175.0,181.0,190.0,217.0,264.0,357.0,459.0,598.0,767.0,946.0,1119.0,1283.0,406.10526315789474,0.5056603773584906,0.7821880365653261,0.5132075471698113,0.6107816711590297,0.8622526636225266,0.32432432432432434,0.6216216216216216,0.05405405405405406,0.372624822333431,0.7150520668980751,0.8227272727272728,0.5125896883904699,886.2190454285145,1133,722,181,14,12,23,2,34.0,220,0.6500473335437046,0.555256064690027,0.7838660578386606,1030,825,284,1314,1855,67,37
COMBINED,0.5829178784708298,0.7714789748703602,0.44970888731628095,0.5829178784708298,0.5803571367978718,0.5787786136023414,0.5773579105949148,0.5762106439077522,0.5762106439077522,0.5738067741339007,0.5720096482174132,0.5689207801038518,0.5653205628054179,0.5510596581094204,0.5283562404493201,0.4890081891461093,0.4295071553303373,0.3599489903905361,0.2848390446509314,0.19700244884955936,0.09987353452277901,0.027433191466741745,0.45889047607672534,0.5475102786660576,0.536978221415608,0.5331522968997511,0.5276211950394588,0.5238416554206028,0.5238416554206028,0.5214462160341343,0.5193989683785603,0.5153209572802505,0.5092448206727557,0.4932774961428257,0.4693125135545435,0.4257154882154882,0.36702986279257466,0.2968989280245023,0.22270348312578958,0.1498642226748133,0.06979314700773726,0.013917988626159833,0.4087825997574851,0.6206152948740947,0.6272403475587841,0.6283095571591165,0.6317831051150178,0.6338150139778442,0.6338150139778442,0.6314250711149089,0.6299493406296776,0.6280956546813817,0.6275711126692115,0.6156103798981057,0.5948281981816275,0.5617108507241224,0.50261958271285,0.43638849269430074,0.36431078768457703,0.25896751179189736,0.1429183712974991,0.054072467959658005,0.5170550607738168,0.615562403697997,0.6078582434514638,0.6050333846944016,0.600924499229584,0.5980996404725218,0.5980996404725218,0.5963020030816641,0.5947611710323575,0.5916795069337443,0.5870570107858244,0.5747303543913713,0.5557267591165896,0.519517205957884,0.46712891628145864,0.3983050847457627,0.31689779147406266,0.22675911658962505,0.11350796096558809,0.023882896764252697,0.4837807152704566,0.8320027768136063,0.8215897257896564,0.8177716070808747,0.8122179798681014,0.8083998611593197,0.8083998611593197,0.8059701492537313,0.8038875390489414,0.7997223186393614,0.7934744880249913,0.7768136063866713,0.7511280805275946,0.7021867407150295,0.6313779937521694,0.5383547379382159,0.42832349878514403,0.3064908018049288,0.1534189517528636,0.032280458174245054,0.6538847987723561,0.6428533708221201,0.649556900761184,0.650742920775003,0.6542182473051031,0.6562936372935688,0.6562936372935688,0.6547054399962862,0.6537066665500796,0.6523412529468712,0.6518645769136925,0.6441062449487021,0.6301651552827783,0.6085735983916303,0.5682166237628422,0.516702113564703,0.4568817806448891,0.3546963793037652,0.22063809347507662,0.09303045661568085,0.5587151103498708,0.9232758488680443,0.9294494988025216,0.9302632147437004,0.9315779538838094,0.9343463141682888,0.9343463141682888,0.93196548902619,0.929885539527254,0.92683853813416,0.9230490033485742,0.9086393426737469,0.8874594040928035,0.8510620629284424,0.7884448714970698,0.7107278883331961,0.6119240874232427,0.4800002476774548,0.2942209534038177,0.11971912269138824,0.786694510283789,0.7714789748703602,0.7802420054182759,0.7833109935536867,0.787497144060842,0.7901776119961267,0.7901776119961267,0.7915667724117635,0.7926366700221771,0.794543497819961,0.7970037629406942,0.8027629164828634,0.8104876795057723,0.8231675823412614,0.8394833068893232,0.8592696936241807,0.880814660626755,0.9026207417448103,0.9305101054583077,0.9636137825914468,0.8258613428607755,0.61808368582615,0.6174732511526051,0.6165616416902862,0.6161606495573648,0.6156984099266742,0.6156984099266742,0.6136122836953335,0.6121024485525021,0.6096157209825771,0.6069761292333671,0.5948192765923487,0.5749451685218655,0.5402022322467968,0.4845494205697625,0.4169121676860476,0.33977828657437575,0.2423287935829004,0.1273670793827901,0.03593615408010259,0.49993795840950134,2397.0,2367.0,2356.0,2340.0,2329.0,2329.0,2322.0,2316.0,2304.0,2286.0,2238.0,2164.0,2023.0,1819.0,1551.0,1234.0,883.0,442.0,93.0,1883.842105263158,1497.0,1527.0,1538.0,1554.0,1565.0,1565.0,1572.0,1578.0,1590.0,1608.0,1656.0,1730.0,1871.0,2075.0,2343.0,2660.0,3011.0,3452.0,3801.0,2010.157894736842,484.0,514.0,525.0,541.0,552.0,552.0,559.0,565.0,577.0,595.0,643.0,717.0,858.0,1062.0,1330.0,1647.0,1998.0,2439.0,2788.0,997.1578947368421,0.4332306111967129,0.7964493754261555,0.4388803287108372,0.5893682588597843,0.7965984033321764,0.273972602739726,0.6301369863013698,0.0958904109589041,0.31326433400180453,0.6774907749077491,1.3318181818181818,0.4385355873957827,1827.8513166030268,2295,1599,586,22,20,46,7,77.0,440,0.6190405904059041,0.5385208012326657,0.7278722665741062,2097,1797,784,2881,3894,137,73
