seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Tracking1,0.5662439967559979,0.8518025870173177,0.48232810131978465,0.5662439967559979,0.5631903627786639,0.5601891552362784,0.5573300129461967,0.5544069865433733,0.5544069865433733,0.5533720311172865,0.5531334427277612,0.551509703914709,0.5501707448305708,0.5470630930318835,0.5438196924951002,0.5394541224509598,0.5293196449191391,0.5054704475130791,0.47449469353590856,0.4211173549851342,0.3185444167026131,0.13612175499755086,0.5041767707381883,0.5320833333333334,0.5194214876033058,0.508822322527698,0.5002039983680131,0.49350121852152723,0.49350121852152723,0.492288961038961,0.491683569979716,0.488663967611336,0.4856565656565657,0.48027375201288247,0.47670682730923697,0.4708,0.4568145800316957,0.4301828082458187,0.3954459203036053,0.34540797658251005,0.25537726186411747,0.09695704057279236,0.44283120053077074,0.6025978334137007,0.6106474073498539,0.6167415927929395,0.6209801287955298,0.6228294788185943,0.6228294788185943,0.62203427063772,0.6222632281092643,0.6224378584713025,0.6232549292486498,0.6231405037300135,0.6203809993969746,0.6181196903766676,0.613332627163265,0.5939344120955021,0.5693451433785929,0.5134213414070162,0.39733586565901474,0.1911066187060666,0.5750912320194348,0.6262873957822462,0.6164786660127514,0.6081412457086808,0.6012751348700344,0.5958803334968121,0.5958803334968121,0.5948994605198626,0.594409024031388,0.5919568415890142,0.5895046591466405,0.5850907307503679,0.5821481118195194,0.577243746934772,0.5654732712113781,0.5424227562530652,0.5110348209906818,0.46297204512015694,0.3668464933791074,0.15939185875429132,0.5456493120982938,0.7796092796092796,0.7673992673992674,0.757020757020757,0.7484737484737485,0.7417582417582418,0.7417582417582418,0.7405372405372406,0.73992673992674,0.7368742368742369,0.7338217338217338,0.7283272283272283,0.7246642246642246,0.7185592185592186,0.703907203907204,0.6752136752136753,0.6361416361416361,0.5763125763125763,0.45665445665445664,0.1984126984126984,0.6792301265985476,0.6435195013128853,0.6518387310554297,0.6584262711506591,0.6628757956926653,0.6651914573724415,0.6651914573724415,0.6644797789699751,0.6646154883585642,0.6650144733282035,0.6660244631817506,0.6659146280451681,0.6645064270119535,0.6628154568080711,0.6584301595829536,0.6452062483208642,0.6288996594241281,0.5880673928426526,0.49531996191228017,0.2879004433786825,0.6265388313221983,0.8858897544978844,0.8942265353662188,0.8992742966015916,0.8988474865329117,0.9014631400144464,0.9014631400144464,0.9010327726045366,0.9012719818961977,0.8985466576536669,0.8960857354321031,0.8928228286058961,0.888997113853471,0.884789572157941,0.8753836988666517,0.85607203097624,0.8245795286980815,0.7662479905434899,0.640001948864778,0.3451657521954012,0.8395874718618924,0.8518025870173177,0.8640027094113392,0.8741991027909315,0.882207038896007,0.8882265163315315,0.8882265163315315,0.8891431122313561,0.8895753022107143,0.8914776470633299,0.8932446936777084,0.8959793850310944,0.8976022779673205,0.8999037368344733,0.9045967400052782,0.9121223187191464,0.9205181649179691,0.93025577645071,0.9441813910973141,0.9665044245272518,0.8991457600795961,0.6143284364187372,0.6135561091596946,0.6124263225249664,0.6110482065215014,0.609205907349945,0.609205907349945,0.6083155858822342,0.608176683301036,0.6070060533356336,0.6061449369814028,0.6038159758465703,0.6009605872331855,0.5973321740264698,0.588916978039078,0.5675945215049086,0.5394026264567066,0.4875445912319617,0.38178694190708207,0.17453033884057975,0.5600683623111389,1277.0,1257.0,1240.0,1226.0,1215.0,1215.0,1213.0,1212.0,1207.0,1202.0,1193.0,1187.0,1177.0,1153.0,1106.0,1042.0,944.0,748.0,325.0,1112.578947368421,762.0,782.0,799.0,813.0,824.0,824.0,826.0,827.0,832.0,837.0,846.0,852.0,862.0,886.0,933.0,997.0,1095.0,1291.0,1714.0,926.421052631579,361.0,381.0,398.0,412.0,423.0,423.0,425.0,426.0,431.0,436.0,445.0,451.0,461.0,485.0,532.0,596.0,694.0,890.0,1313.0,525.421052631579,0.37763609612555177,0.8918762322743521,0.38155958803334966,0.592447278077489,0.7374847374847375,0.3055555555555556,0.5833333333333334,0.1111111111111111,0.31357846424100894,0.6570573837367419,1.9545454545454546,0.38111667975135266,1077.3864885874173,1208,831,430,8,11,21,4,40.0,220,0.6037530595594235,0.5443845022069642,0.6776556776556777,1110,929,528,1638,2039,76,36
Tracking2,0.6228712055567945,0.8590112287881652,0.5350533596621079,0.6228712055567945,0.6217093382355614,0.6209189912220672,0.6202355713747183,0.6193642787698539,0.6193642787698539,0.617382881559107,0.6167873424974526,0.613703617582877,0.6099854309084549,0.608416535112133,0.6060002790875032,0.592251297485663,0.5739360017739066,0.5377112148360179,0.47135783409696935,0.39129670406689165,0.2604154904841914,0.08040067851259125,0.5423215248385583,0.594581519109821,0.5891996142719382,0.5853775853775853,0.5838539163863528,0.5830931796349664,0.5830931796349664,0.581573896353167,0.5808153477218225,0.5777884155098133,0.5732696897374702,0.5717691940867906,0.5680304471931494,0.5561850802644004,0.5337366216845044,0.4927536231884058,0.4164159862483885,0.3322554567502021,0.21131936787945607,0.06151368760064412,0.5040329372965182,0.6525068913891278,0.6560128212692697,0.6586183060144759,0.6588842743052895,0.6578916084325559,0.6578916084325559,0.6553967171366334,0.6549872129881674,0.6518513007949245,0.6490526755233982,0.6474127742909912,0.6465081934758666,0.6306562542215363,0.6171630739757069,0.5867706231961589,0.5335486991415809,0.4608294837689507,0.3209181835278189,0.1050866783869638,0.5843151252774724,0.662533692722372,0.6587601078167116,0.6560646900269542,0.6549865229110512,0.6544474393530997,0.6544474393530997,0.6533692722371968,0.6528301886792452,0.6506738544474393,0.6474393530997304,0.6463611859838275,0.6436657681940701,0.6350404312668464,0.6183288409703505,0.5865229110512129,0.5223719676549865,0.4431266846361186,0.30997304582210244,0.10296495956873315,0.5817846503050078,0.8528799444829979,0.8480222068008327,0.8445523941707148,0.8431644691186676,0.842470506592644,0.842470506592644,0.8410825815405968,0.8403886190145732,0.8376127689104789,0.8334489937543372,0.8320610687022901,0.8285912560721721,0.8174878556557946,0.7959750173490632,0.7550312283136711,0.6724496877168633,0.5704371963913949,0.39902845246356694,0.1325468424705066,0.7489316629533584,0.6745402847815283,0.6780752414434591,0.6807283083153447,0.6811494543340468,0.680247340384179,0.680247340384179,0.6784633200937837,0.678245446954053,0.6763962285968269,0.6745585872614367,0.6735817538872243,0.6734566892039737,0.6632421392082382,0.655157319423543,0.6352431322687294,0.5962122927529162,0.5451779231388273,0.4257780658004786,0.16769681646156376,0.6220104044575965,0.9443442742464343,0.9474851636048859,0.9508668882728206,0.9508225905123187,0.9503563373475149,0.9503563373475149,0.9490554130940211,0.9482206116184587,0.9450799193645691,0.9412766701539161,0.9397116568953837,0.937019318118301,0.9250238378783787,0.9072906887880886,0.868834664032646,0.8084790758419352,0.7231020268778601,0.5496625627043268,0.23672676043224594,0.8617744630069273,0.8590112287881652,0.8635640987583217,0.8666233192891524,0.8677946631145127,0.8683247248766431,0.8683247248766431,0.8692244315983516,0.8696230340423872,0.8711004370258585,0.873031175671355,0.8736060251240262,0.8749008447872636,0.8782543204204458,0.8836640363426652,0.8920706960666294,0.9063740561004358,0.9205645318259446,0.9393766562637511,0.9635047176946648,0.8846809327719588,0.6575011789182088,0.657385029391824,0.6573402579954044,0.6569325078179591,0.6561672641259836,0.6561672641259836,0.6543822094939701,0.6539078114211194,0.6512623115264775,0.648245512416799,0.6468867664528354,0.6450854152725856,0.6328445462054472,0.6177456824787183,0.5866467540491003,0.5279307566436587,0.4518914043496614,0.31539814014641004,0.10402040949412857,0.5830390117013828,1229.0,1222.0,1217.0,1215.0,1214.0,1214.0,1212.0,1211.0,1207.0,1201.0,1199.0,1194.0,1178.0,1147.0,1088.0,969.0,822.0,575.0,191.0,1079.2105263157894,626.0,633.0,638.0,640.0,641.0,641.0,643.0,644.0,648.0,654.0,656.0,661.0,677.0,708.0,767.0,886.0,1033.0,1280.0,1664.0,775.7894736842105,212.0,219.0,224.0,226.0,227.0,227.0,229.0,230.0,234.0,240.0,242.0,247.0,263.0,294.0,353.0,472.0,619.0,866.0,1250.0,361.7894736842105,0.5212938005390836,0.8727275870971205,0.5266846361185984,0.6517520215633423,0.8390006939625261,0.35135135135135137,0.6216216216216216,0.02702702702702703,0.4383437481403874,0.7336165048543689,1.0545454545454545,0.5261455525606469,1055.1276528004187,1209,646,232,10,13,23,1,28.0,220,0.6729368932038835,0.597843665768194,0.7696044413601666,1109,746,332,1441,1855,66,37
COMBINED,0.5931193417581443,0.855337870631193,0.507317434809586,0.5931193417581443,0.5909176593722234,0.5889253347664495,0.5870524964053898,0.5850654210969962,0.5850654210969962,0.5835754726970515,0.5831653955344169,0.5808350734859522,0.5783596906646093,0.5759599557462165,0.5731208935680582,0.5642826294432263,0.5502870804900715,0.5206145662969105,0.47302620922396504,0.407221065217229,0.29199805522489686,0.11281604319508966,0.5223898844886259,0.5610029102305798,0.5516243880729862,0.5440655447298495,0.5386142983230362,0.5345510563380281,0.5345510563380281,0.5332014072119613,0.5325274725274726,0.529502083790305,0.5258205689277899,0.5221567343374809,0.5185104529616724,0.5099610220874837,0.4921891718382196,0.4590918602218037,0.4052801289802499,0.33915882465911273,0.23415929203539823,0.07991327241753136,0.470835870843631,0.6270743825963822,0.63300986632909,0.6374839452514701,0.6398467968800682,0.6403533262254899,0.6403533262254899,0.6387086150322284,0.6386184677660334,0.6371445796331134,0.6361484345653259,0.6353070808214066,0.6334830026435925,0.6243906339899394,0.6152428543345132,0.5903819042001123,0.5520966329531007,0.48894200563210694,0.3641233431908079,0.1592659043631429,0.5806302685596533,0.6435541859270673,0.6366204417051875,0.6309707241910631,0.6268618387262455,0.6237801746276322,0.6237801746276322,0.6227529532614279,0.6222393425783256,0.6199280945043657,0.6171032357473035,0.6142783769902413,0.6114535182331793,0.6047765793528506,0.5906522855675398,0.5634309193631227,0.5164355418592707,0.4535182331792501,0.33975346687211094,0.1325115562403698,0.5628632443975888,0.8139006170834686,0.8051315362130562,0.7979863592075349,0.7927898668398831,0.7888924975641443,0.7888924975641443,0.7875933744722312,0.7869438129262748,0.7840207859694706,0.78044819746671,0.7768756089639494,0.7733030204611887,0.7648587203637545,0.7469957778499513,0.7125690159142579,0.6531341344592401,0.5735628450795713,0.4296849626502111,0.16758687885677168,0.7118510794687272,0.6587328065335406,0.6647717749014046,0.6694729049436677,0.6719714512638569,0.6727162996846068,0.6727162996846068,0.671468666327524,0.6714276550358803,0.6707053509625153,0.6702897494987305,0.6697578069267004,0.6689947147302534,0.6630288885988977,0.6567980084251954,0.6402655599595504,0.6131492574826043,0.5681041175897962,0.4650957818183377,0.2434064651981211,0.6254143978718837,0.9145571945501461,0.9204798809522013,0.9248291130704097,0.9247179295214326,0.9258996742105539,0.9258996742105539,0.9250341912739202,0.9247366086372865,0.9218132885091181,0.9186717997687229,0.9163260498095315,0.9130788072143308,0.9049152473251069,0.8912955760144292,0.8624009939504286,0.8168215282915148,0.7461653279539385,0.6007387991729719,0.3050265129962488,0.8517583261806762,0.855337870631193,0.8637865003681817,0.8704466695301806,0.8750333246090282,0.878279717308792,0.878279717308792,0.8791878788593142,0.8796032853919591,0.8812890420445942,0.883142140566751,0.8847646448435632,0.8862181909379262,0.8890744321483908,0.8941576917004882,0.9021787610865399,0.9137028285459204,0.9257449026785938,0.9420931654515857,0.9653940679283679,0.8919849911547455,0.6352608470601135,0.6348125870728832,0.6342189736955969,0.6333210399120955,0.6320124284033671,0.6320124284033671,0.6306803281257761,0.6303757098279678,0.6284773863678319,0.6265534752803182,0.6247042520244134,0.6223707984050529,0.6145053553911416,0.6028221944253356,0.5767490087194085,0.5339684670444627,0.4708971379413896,0.35172740612318004,0.14527412998600256,0.5716181028531423,2506.0,2479.0,2457.0,2441.0,2429.0,2429.0,2425.0,2423.0,2414.0,2403.0,2392.0,2381.0,2355.0,2300.0,2194.0,2011.0,1766.0,1323.0,516.0,2191.7894736842104,1388.0,1415.0,1437.0,1453.0,1465.0,1465.0,1469.0,1471.0,1480.0,1491.0,1502.0,1513.0,1539.0,1594.0,1700.0,1883.0,2128.0,2571.0,3378.0,1702.2105263157894,573.0,600.0,622.0,638.0,650.0,650.0,654.0,656.0,665.0,676.0,687.0,698.0,724.0,779.0,885.0,1068.0,1313.0,1756.0,2563.0,887.2105263157895,0.4460708782742681,0.8822979484434571,0.450693374422188,0.620698510529019,0.7849951282884053,0.3287671232876712,0.6027397260273972,0.0684931506849315,0.37301339018691215,0.6932453750179263,1.5045454545454546,0.4503710137377752,2132.514141387836,2417,1477,662,18,24,44,5,68.0,440,0.6364548974616377,0.5698510529019004,0.7206885352387139,2219,1675,860,3079,3894,142,73
