seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Tracking1,0.3414810501273283,0.8994504503746531,0.30714528433143495,0.3414810501273283,0.3414810501273283,0.340869077828673,0.33970934612721043,0.33916059617248595,0.33916059617248595,0.33916059617248595,0.33916059617248595,0.33916059617248595,0.33916059617248595,0.33916059617248595,0.3380423898923694,0.3370818252862489,0.3335434938779202,0.32868234512432803,0.3038183512510959,0.27696801470791166,0.21061213272897736,0.08018325982040188,0.3129787636898524,0.2341153470185728,0.2341153470185728,0.2335124572545188,0.2323084431429966,0.23170731707317074,0.23170731707317074,0.23170731707317074,0.23170731707317074,0.23170731707317074,0.23170731707317074,0.23170731707317074,0.2311067771818625,0.23050682261208577,0.22691933916423712,0.2215771649733914,0.20582617000955108,0.18656015037593984,0.14305115436849253,0.05252188411838266,0.21337222509214732,0.4980848503998846,0.4980848503998846,0.4975825683386382,0.4967638639596983,0.4964448747199074,0.4964448747199074,0.4964448747199074,0.4964448747199074,0.4964448747199074,0.4964448747199074,0.4964448747199074,0.4944582705777653,0.49293186054420834,0.49026787543995975,0.4875596454598612,0.4484638204784696,0.41118792527053627,0.3100811779427224,0.12241288109418372,0.45910493226027177,0.23491907797940167,0.23491907797940167,0.23442864149092693,0.23344776851397744,0.2329573320255027,0.2329573320255027,0.2329573320255027,0.2329573320255027,0.2329573320255027,0.2329573320255027,0.2329573320255027,0.23246689553702796,0.2319764590485532,0.22903384011770475,0.2246199117214321,0.21137812653261404,0.19470328592447278,0.15497793035801863,0.06179499754781756,0.21628249141736142,0.98559670781893,0.98559670781893,0.9835390946502057,0.9794238683127572,0.977366255144033,0.977366255144033,0.977366255144033,0.977366255144033,0.977366255144033,0.977366255144033,0.977366255144033,0.9753086419753086,0.9732510288065843,0.9609053497942387,0.9423868312757202,0.8868312757201646,0.8168724279835391,0.6502057613168725,0.25925925925925924,0.9074074074074076,0.4985321000474943,0.4985321000474943,0.498212342627533,0.4976844398192068,0.49747676437623806,0.49747676437623806,0.49747676437623806,0.49747676437623806,0.49747676437623806,0.49747676437623806,0.49747676437623806,0.49610013307745376,0.494929097417998,0.4934911560628451,0.49226653712672647,0.46409794342263183,0.43684810509033545,0.35430969940947354,0.16547405115223554,0.4669902661018471,0.9960443907262938,0.9960443907262938,0.9942193349482492,0.9908779301194162,0.9893628808864265,0.9893628808864265,0.9893628808864265,0.9893628808864265,0.9893628808864265,0.9893628808864265,0.9893628808864265,0.9874065437856244,0.9857942954638181,0.9758470050930325,0.9683848449362125,0.92259132878723,0.8676584636153284,0.7088348584613079,0.3239666424042113,0.9285900102774739,0.8994504503746531,0.8994504503746531,0.9010365457148077,0.9041135089105707,0.9055922849141266,0.9055922849141266,0.9055922849141266,0.9055922849141266,0.9055922849141266,0.9055922849141266,0.9055922849141266,0.906278091040374,0.9068583542131199,0.9099061627967117,0.9134172680279129,0.9219307727841441,0.9299353283598416,0.9433675507991216,0.9656861555557497,0.9126619280710815,0.3420667095925137,0.3420667095925137,0.3415371217381696,0.34054135654832385,0.34007421765327134,0.34007421765327134,0.34007421765327134,0.34007421765327134,0.34007421765327134,0.34007421765327134,0.34007421765327134,0.3390356605636358,0.3381546799339922,0.3350939184741533,0.3309314196659585,0.3078886847391399,0.28294812277631387,0.2192161928337859,0.08697415528210875,0.31510390817439515,479.0,479.0,478.0,476.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,474.0,473.0,467.0,458.0,431.0,397.0,316.0,126.0,441.0,1560.0,1560.0,1561.0,1563.0,1564.0,1564.0,1564.0,1564.0,1564.0,1564.0,1564.0,1565.0,1566.0,1572.0,1581.0,1608.0,1642.0,1723.0,1913.0,1598.0,7.0,7.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,19.0,28.0,55.0,89.0,170.0,360.0,45.0,0.22756253065228052,0.9055922849141266,0.22756253065228052,0.2329573320255027,0.977366255144033,0.0,0.3611111111111111,0.6388888888888888,0.20556956122325165,0.37623762376237624,0.05,0.22756253065228052,430.1563353342101,475,1564,11,0,0,13,23,12.0,220,0.37623762376237624,0.2329573320255027,0.977366255144033,475,1564,11,486,2039,19,36
Tracking2,0.30043508856420315,0.8993441088895905,0.2701945270039385,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.30043508856420315,0.29964753600751665,0.29750538043876407,0.2908065713838594,0.27848908100314407,0.24524227965538614,0.19881995916631248,0.08047679036317829,0.27874782425203154,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20548682087143624,0.20483870967741935,0.2028985507246377,0.19583778014941303,0.18321013727560717,0.15694372741352608,0.11938061938061938,0.04087320018578727,0.18788550396127604,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.43833827100734735,0.43622515327935346,0.43182914908203524,0.4233181055986342,0.3832187289148529,0.3311205484439921,0.1584537975426501,0.41439848861151535,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.2059299191374663,0.20539083557951482,0.2037735849056604,0.19784366576819407,0.18706199460916442,0.16388140161725068,0.12884097035040432,0.04743935309973046,0.18975741239892185,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9870466321243523,0.9792746113989638,0.9507772020725389,0.8989637305699482,0.7875647668393783,0.6191709844559585,0.22797927461139897,0.9119170984455959,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4392556274791605,0.4386263447542265,0.43711044566791385,0.43460109492504484,0.42975250520827446,0.40202552021557014,0.36352570534392753,0.19742818492529005,0.41969143846264073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974690663667042,0.9909297052154195,0.9704547015734706,0.9544006897088111,0.8971195385748993,0.7803793184845952,0.4640166349093052,0.9502510344649056,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.8993441088895905,0.9000392379272181,0.9016709136343777,0.9068422224078768,0.9145721268639284,0.9272486083192062,0.9400548226328214,0.9652629997323575,0.9077800125364668,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3007588333656396,0.3000511018954586,0.2981462112953224,0.2922920830948896,0.2814013667121278,0.250604114931394,0.20654755569718564,0.0867003209429987,0.2802551976293185,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,381.0,378.0,367.0,347.0,304.0,239.0,88.0,352.0,1473.0,1473.0,1473.0,1473.0,1473.0,1473.0,1473.0,1473.0,1473.0,1473.0,1473.0,1473.0,1474.0,1477.0,1488.0,1508.0,1551.0,1616.0,1767.0,1503.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,19.0,39.0,82.0,147.0,298.0,34.0,0.20161725067385444,0.8993441088895905,0.2037735849056604,0.2059299191374663,0.9896373056994818,0.05405405405405406,0.32432432432432434,0.6216216216216216,0.18088919115677818,0.34091923248549755,0.01818181818181818,0.20344902426343506,343.54944959582355,382,1473,4,4,2,12,23,14.0,220,0.31682284694332885,0.19137466307277629,0.9196891191709845,355,1500,31,386,1855,27,37
COMBINED,0.3225928458351431,0.8994032698319191,0.2901410603685119,0.3225928458351431,0.3225928458351431,0.3222584622286266,0.3216255606517438,0.32132646109429713,0.32132646109429713,0.32132646109429713,0.32132646109429713,0.32132646109429713,0.32132646109429713,0.32132646109429713,0.32071247010132153,0.3198301453970623,0.31693194398900054,0.3112471802928087,0.2920628776320413,0.26232947365568166,0.20509044480537478,0.08032222727039871,0.29720430028181194,0.2204865556978233,0.2204865556978233,0.2201740911418331,0.2195496417604913,0.21923765668969045,0.21923765668969045,0.21923765668969045,0.21923765668969045,0.21923765668969045,0.21923765668969045,0.21923765668969045,0.21892583120204603,0.21830265848670757,0.21550624840601887,0.20933773154021823,0.1950852557673019,0.17244772447724477,0.13179767276181428,0.04701230228471002,0.20125136137115085,0.47198408018418586,0.47198408018418586,0.47167455507314926,0.4711599638016966,0.47095328493465033,0.47095328493465033,0.47095328493465033,0.47095328493465033,0.47095328493465033,0.47095328493465033,0.47095328493465033,0.46982344620432254,0.4685757040880678,0.4660925512071678,0.4627680185863313,0.43724844379041966,0.399058630417287,0.3191413753297556,0.13723344486738484,0.43912722569876345,0.22110939907550076,0.22110939907550076,0.22085259373394966,0.22033898305084745,0.22008217770929636,0.22008217770929636,0.22008217770929636,0.22008217770929636,0.22008217770929636,0.22008217770929636,0.22008217770929636,0.21982537236774524,0.21931176168464303,0.2170005136106831,0.211864406779661,0.1997945557267591,0.1800205444273241,0.14252696456086286,0.05495634309193631,0.20364663585002568,0.9873853211009175,0.9873853211009175,0.9862385321100917,0.9839449541284404,0.9827981651376146,0.9827981651376146,0.9827981651376146,0.9827981651376146,0.9827981651376146,0.9827981651376146,0.9827981651376146,0.981651376146789,0.9793577981651376,0.9690366972477065,0.9461009174311926,0.8922018348623854,0.8038990825688074,0.6364678899082569,0.24541284403669725,0.9094036697247706,0.4722328985131116,0.4722328985131116,0.47202459241046524,0.47167067954659875,0.4715252191082292,0.4715252191082292,0.4715252191082292,0.4715252191082292,0.4715252191082292,0.4715252191082292,0.4715252191082292,0.47073260838288833,0.46981042204926626,0.46826996253706515,0.4666141525351905,0.44877934822933874,0.4217467273415071,0.35827839385692306,0.1786140687785383,0.4458780677079794,0.9977993764900056,0.9977993764900056,0.9967870257037943,0.9949392712550607,0.9941042805379844,0.9941042805379844,0.9941042805379844,0.9941042805379844,0.9941042805379844,0.9941042805379844,0.9941042805379844,0.9930265207411051,0.9910028290867684,0.9825940591122778,0.9693056175251502,0.9367787943910715,0.8804347357803919,0.739644094399264,0.38155729352780127,0.9379157346457151,0.8994032698319191,0.8994032698319191,0.9002847888924438,0.9019900697403906,0.9028072169545316,0.9028072169545316,0.9028072169545316,0.9028072169545316,0.9028072169545316,0.9028072169545316,0.9028072169545316,0.9031837205011225,0.9038161020996205,0.9062222288519043,0.9104923689460303,0.9186487032027626,0.9287701887131181,0.9419409885797599,0.965512147553607,0.9104904402855958,0.3230481641222069,0.3230481641222069,0.3227546264365729,0.3222032080509751,0.3219447538752023,0.3219447538752023,0.3219447538752023,0.3219447538752023,0.3219447538752023,0.3219447538752023,0.3219447538752023,0.3213706800704796,0.3205684999281373,0.3180288084467648,0.3131198999335434,0.29556701197752716,0.2680275207999028,0.2132750606412506,0.08684381543794772,0.29902467037336483,861.0,861.0,860.0,858.0,857.0,857.0,857.0,857.0,857.0,857.0,857.0,856.0,854.0,845.0,825.0,778.0,701.0,555.0,214.0,793.0,3033.0,3033.0,3034.0,3036.0,3037.0,3037.0,3037.0,3037.0,3037.0,3037.0,3037.0,3038.0,3040.0,3049.0,3069.0,3116.0,3193.0,3339.0,3680.0,3101.0,11.0,11.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,18.0,27.0,47.0,94.0,171.0,317.0,658.0,79.0,0.21520287621982537,0.9028072169545316,0.2162300975860298,0.22008217770929636,0.9827981651376146,0.0273972602739726,0.3424657534246575,0.6301369863013698,0.19381247686955153,0.35963071758287873,0.03409090909090909,0.21607548536432258,773.7057849300336,857,3037,15,4,2,25,46,26.0,440,0.3483004616030214,0.21314843348741655,0.9518348623853211,830,3064,42,872,3894,46,73
